columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
oper_ruta,682,0,,,,,,,,,,,,,,,,,,,22.0,No Aplica,17.89,No Aplica=122 | CONSORCIO EXPRESS USAQUEN N=76 | ETIB BO=69 | MASIVO CAPITAL KE=64 | GMOVIL ENGATIVA E=53
cod_ruta,682,0,,,,,,,,,,,,,,,,,,,677.0,MP85,0.29,MP85=2 | 7-1-1a=2 | HA680-3=2 | B919-2=2 | LG816-3=2
zon_dest,682,0,0.0,15.0,6.6393,7.0,12.0,4.3163,0.0,14.0,14.0,3.0,11.0,8.0,-0.0586,-1.3184,65.0112,0.0,0.0,False,,,,
zon_orig,682,0,0.0,15.0,6.7287,7.0,8.0,4.2663,0.0,14.0,14.0,3.0,11.0,8.0,-0.0414,-1.3276,63.4034,0.0,0.0,False,,,,
hor_habil,681,1,,,,,,,,,,,,,,,,,,,133.0,4:00 a. m. - 11:00 p. m.,14.08,4:00 a. m. - 11:00 p. m.=96 | 4:00 a. m. - 10:00 p. m.=72 | 4:00 a. m. - 12:30 a. m.=54 | 3:00 a. m. - 10:00 p. m.=32 | 4:30 a. m. - 12:30 a. m.=26
hor_sab,662,20,,,,,,,,,,,,,,,,,,,107.0,4:00 a. m. - 11:00 p. m.,12.17,4:00 a. m. - 11:00 p. m.=83 | 4:00 a. m. - 10:00 p. m.=78 | 4:00 a. m. - 12:30 a. m.=54 | 4:00 a. m. - 9:00 p. m.=41 |  =31
hor_fest,598,84,,,,,,,,,,,,,,,,,,,88.0,5:00 a. m. - 10:00 p. m.,14.52,5:00 a. m. - 10:00 p. m.=99 | (nulo)=84 |  =67 | 5:00 a. m. - 9:00 p. m.=58 | 4:00 a. m. - 11:30 p. m.=41
est_ruta,682,0,0.0,2.0,1.0088,1.0,1.0,0.0935,1.0,2.0,1.0,1.0,1.0,0.0,10.5434,109.4854,9.2636,6.0,0.88,False,,,,
tip_bus,682,0,0.0,5.0,3.3226,3.0,3.0,0.9897,1.0,5.0,4.0,3.0,4.0,1.0,-0.4351,0.0992,29.7868,42.0,6.16,False,,,,
tip_serv,682,0,0.0,3.0,1.3504,1.0,1.0,0.57,1.0,4.0,3.0,1.0,2.0,1.0,1.9171,5.2087,42.2073,11.0,1.61,False,,,,
dias_oper,682,0,0.0,4.0,2.783,3.0,3.0,0.5578,1.0,4.0,3.0,3.0,3.0,0.0,-2.1138,4.0017,20.043,121.0,17.74,False,,,,
tip_hor,682,0,0.0,4.0,1.1554,1.0,1.0,0.544,1.0,4.0,3.0,1.0,1.0,0.0,3.7644,13.9133,47.0814,61.0,8.94,False,,,,
comp_sitp,682,0,0.0,2.0,1.8211,2.0,2.0,0.3835,1.0,2.0,1.0,2.0,2.0,0.0,-1.6794,0.8228,21.0606,122.0,17.89,False,,,,
ruta_rural,682,0,0.0,3.0,2.1525,2.0,2.0,0.4405,1.0,3.0,2.0,2.0,2.0,0.0,0.7087,1.0829,20.4646,148.0,21.7,False,,,,
route_id,682,0,0.0,658.0,11618.11,12132.5,0.0,2044.9958,0.0,13190.0,13190.0,10848.25,12792.75,1944.5,-4.2644,21.767,17.6018,16.0,2.35,False,,,,
tipo_ruta,682,0,0.0,3.0,1.0176,1.0,1.0,0.1789,1.0,3.0,2.0,1.0,1.0,0.0,10.5111,111.4318,17.578,7.0,1.03,False,,,,
globalid,682,0,,,,,,,,,,,,,,,,,,,682.0,{D5602DFF-2A7E-4229-A20C-3C4A4679722A},0.15,{D5602DFF-2A7E-4229-A20C-3C4A4679722A}=1 | {B4514BF1-B4AC-4F74-931A-29E8500FC5E0}=1 | {9113042F-0736-4259-A7E8-76782829ABE8}=1 | {8B35CEC7-D0BE-4925-8264-1FF746106B7B}=1 | {2CB9A581-430F-46AD-B74E-59D335E56CD6}=1
created_user,559,123,,,,,,,,,,,,,,,,,,,2.0,editorInfraSTS,81.96,editorInfraSTS=559 | (nulo)=123
created_date,559,123,,,,,,,,,,,,,,,,,,,392.0,(nulo),18.04,(nulo)=123 | 2026/06/30 20:19:05+00=2 | 2026/06/30 20:23:22+00=2 | 2026/06/30 20:22:56+00=2 | 2026/06/30 20:20:48+00=2
last_edited_user,682,0,,,,,,,,,,,,,,,,,,,1.0,editorInfraSTS,100.0,editorInfraSTS=682
last_edited_date,682,0,,,,,,,,,,,,,,,,,,,9.0,2026/07/17 21:29:38+00,45.16,2026/07/17 21:29:38+00=308 | 2026/07/17 21:30:33+00=242 | 2026/07/17 21:22:59+00=113 | 2026/07/17 21:25:54+00=6 | 2026/07/17 21:32:02+00=5
shape_Length,682,0,0.0,682.0,25720.1078,24915.5778,3021.1647,15477.0867,3021.1647,75600.7138,72579.5491,12104.873,36599.3103,24494.4373,0.5489,-0.379,60.175,1.0,0.15,False,,,,
