OBJECTID,ESTADO_SUPERFICIAL,FECHA_ESTADO,CalCodigo
"70","2",2025/12/31 00:00:00,"179849"
"71","2",2025/12/31 00:00:00,"180050"
"72","2",2025/12/31 00:00:00,"174849"
"73","2",2025/12/31 00:00:00,"148856"
"74","2",2025/12/31 00:00:00,"147714"
"75","2",2025/12/31 00:00:00,"440926"
"76","1",2025/12/31 00:00:00,"91030984"
"77","2",2025/12/31 00:00:00,"390531"
"78","1",2025/12/31 00:00:00,"204027"
"79","2",2025/12/31 00:00:00,"142692"
"80","2",2025/12/31 00:00:00,"174530"
"81","2",2025/12/31 00:00:00,"183295"
"82","1",2025/12/31 00:00:00,"419296"
"83","2",2025/12/31 00:00:00,"157488"
"84","1",2025/12/31 00:00:00,"91022112"
"85","1",2025/12/31 00:00:00,"444179"
"86","2",2025/12/31 00:00:00,"181636"
"87","6",2025/12/31 00:00:00,"321453"
"88","2",2025/12/31 00:00:00,"91064048"
"89","5",2025/12/31 00:00:00,"155857"
"90","1",2025/12/31 00:00:00,"213062"
"91","6",2025/12/31 00:00:00,"91066497"
"92","2",2025/12/31 00:00:00,"91016024"
"93","1",2025/12/31 00:00:00,"353425"
"94","1",2025/12/31 00:00:00,"300551"
"95","3",2025/12/31 00:00:00,"152506"
"96","1",2025/12/31 00:00:00,"204480"
"97","2",2025/12/31 00:00:00,"421407"
"98","1",2025/12/31 00:00:00,"91032897"
"99","2",2025/12/31 00:00:00,"169739"
"100","2",2025/12/31 00:00:00,"601443"
"101","2",2025/12/31 00:00:00,"149566"
"102","1",2025/12/31 00:00:00,"600688"
"103","2",2025/12/31 00:00:00,"91064001"
"104","1",2025/12/31 00:00:00,"294252"
"105","2",2025/12/31 00:00:00,"140112"
"106","6",2025/12/31 00:00:00,"91066499"
"107","6",2025/12/31 00:00:00,"91066493"
"108","1",2025/12/31 00:00:00,"141537"
"109","1",2025/12/31 00:00:00,"417765"
"110","2",2025/12/31 00:00:00,"172730"
"111","1",2025/12/31 00:00:00,"298068"
"112","2",2025/12/31 00:00:00,"185011"
"113","2",2025/12/31 00:00:00,"183271"
"114","1",2025/12/31 00:00:00,"202277"
"115","2",2025/12/31 00:00:00,"91015307"
"116","8",2025/12/31 00:00:00,"901435"
"117","2",2025/12/31 00:00:00,"91060643"
"118","1",2025/12/31 00:00:00,"213641"
"119","2",2025/12/31 00:00:00,"188991"
"120","6",2025/12/31 00:00:00,"91022689"
"121","2",2025/12/31 00:00:00,"160925"
"122","2",2025/12/31 00:00:00,"182089"
"123","1",2025/12/31 00:00:00,"443053"
"124","1",2025/12/31 00:00:00,"294302"
"125","2",2025/12/31 00:00:00,"165936"
"126","2",2025/12/31 00:00:00,"165713"
"127","2",2025/12/31 00:00:00,"165801"
"128","2",2025/12/31 00:00:00,"421318"
"129","1",2025/12/31 00:00:00,"91066228"
"130","3",2025/12/31 00:00:00,"901846"
"131","2",2025/12/31 00:00:00,"182658"
"132","8",2025/12/31 00:00:00,"91028525"
"133","1",2025/12/31 00:00:00,"416531"
"134","1",2025/12/31 00:00:00,"422943"
"135","1",2025/12/31 00:00:00,"147364"
"136","1",2025/12/31 00:00:00,"152612"
"137","1",2025/12/31 00:00:00,"183542"
"138","1",2025/12/31 00:00:00,"298119"
"139","1",2025/12/31 00:00:00,"456860"
"140","6",2025/12/31 00:00:00,"91019607"
"141","1",2025/12/31 00:00:00,"453471"
"142","6",2025/12/31 00:00:00,"91028082"
"143","1",2025/12/31 00:00:00,"293149"
"144","1",2025/12/31 00:00:00,"174050"
"145","2",2025/12/31 00:00:00,"464371"
"146","1",2025/12/31 00:00:00,"367283"
"147","2",2025/12/31 00:00:00,"411685"
"148","1",2025/12/31 00:00:00,"417206"
"149","1",2025/12/31 00:00:00,"385434"
"150","1",2025/12/31 00:00:00,"91012273"
"151","1",2025/12/31 00:00:00,"526528"
"152","1",2025/12/31 00:00:00,"170298"
"153","1",2025/12/31 00:00:00,"178375"
"154","2",2025/12/31 00:00:00,"352771"
"155","2",2025/12/31 00:00:00,"159909"
"156","2",2025/12/31 00:00:00,"159437"
"157","2",2025/12/31 00:00:00,"179143"
"158","2",2025/12/31 00:00:00,"173637"
"159","1",2025/12/31 00:00:00,"420220"
"160","1",2025/12/31 00:00:00,"464233"
"161","1",2025/12/31 00:00:00,"91017582"
"162","1",2025/12/31 00:00:00,"154627"
"163","6",2025/12/31 00:00:00,"91019038"
"164","2",2025/12/31 00:00:00,"24122620"
"165","2",2025/12/31 00:00:00,"175738"
"166","1",2025/12/31 00:00:00,"290595"
"167","2",2025/12/31 00:00:00,"137220"
"168","1",2025/12/31 00:00:00,"91021704"
"169","1",2025/12/31 00:00:00,"382041"
"170","1",2025/12/31 00:00:00,"148036"
"171","2",2025/12/31 00:00:00,"91010730"
"172","2",2025/12/31 00:00:00,"5121012"
"173","3",2025/12/31 00:00:00,"91065046"
"174","1",2025/12/31 00:00:00,"368414"
"175","1",2025/12/31 00:00:00,"359433"
"176","1",2025/12/31 00:00:00,"450243"
"177","2",2025/12/31 00:00:00,"91030769"
"178","1",2025/12/31 00:00:00,"453893"
"179","1",2025/12/31 00:00:00,"478499"
"180","2",2025/12/31 00:00:00,"411817"
"181","2",2025/12/31 00:00:00,"91033104"
"182","1",2025/12/31 00:00:00,"441818"
"183","3",2025/12/31 00:00:00,"418647"
"184","2",2025/12/31 00:00:00,"421948"
"185","1",2025/12/31 00:00:00,"449423"
"186","1",2025/12/31 00:00:00,"360139"
"187","1",2025/12/31 00:00:00,"368971"
"188","5",2025/12/31 00:00:00,"91028766"
"189","1",2025/12/31 00:00:00,"386158"
"190","1",2025/12/31 00:00:00,"145210"
"191","3",2025/12/31 00:00:00,"293582"
"192","1",2025/12/31 00:00:00,"141754"
"193","2",2025/12/31 00:00:00,"91016137"
"194","1",2025/12/31 00:00:00,"91019172"
"195","1",2025/12/31 00:00:00,"213284"
"196","3",2025/12/31 00:00:00,"91015815"
"197","1",2025/12/31 00:00:00,"91012134"
"198","1",2025/12/31 00:00:00,"440071"
"199","1",2025/12/31 00:00:00,"91014923"
"200","1",2025/12/31 00:00:00,"389902"
"201","2",2025/12/31 00:00:00,"534043"
"202","1",2025/12/31 00:00:00,"300458"
"203","2",2025/12/31 00:00:00,"91024242"
"204","2",2025/12/31 00:00:00,"91013208"
"205","2",2025/12/31 00:00:00,"91024289"
"206","3",2025/12/31 00:00:00,"156237"
"207","2",2025/12/31 00:00:00,"503922"
"208","1",2025/12/31 00:00:00,"169539"
"209","1",2025/12/31 00:00:00,"169565"
"210","2",2025/12/31 00:00:00,"152774"
"211","1",2025/12/31 00:00:00,"138185"
"212","2",2025/12/31 00:00:00,"154316"
"213","1",2025/12/31 00:00:00,"458251"
"214","1",2025/12/31 00:00:00,"151056"
"215","1",2025/12/31 00:00:00,"213350"
"216","1",2025/12/31 00:00:00,"200566"
"217","1",2025/12/31 00:00:00,"140337"
"218","1",2025/12/31 00:00:00,"208848"
"219","1",2025/12/31 00:00:00,"490333"
"220","4",2025/12/31 00:00:00,"355382"
"221","2",2025/12/31 00:00:00,"162382"
"222","5",2025/12/31 00:00:00,"169995"
"223","1",2025/12/31 00:00:00,"176717"
"224","1",2025/12/31 00:00:00,"171797"
"225","1",2025/12/31 00:00:00,"171311"
"226","1",2025/12/31 00:00:00,"820303"
"227","1",2025/12/31 00:00:00,"298233"
"228","1",2025/12/31 00:00:00,"24124541"
"229","1",2025/12/31 00:00:00,"203150"
"230","2",2025/12/31 00:00:00,"161095"
"231","2",2025/12/31 00:00:00,"91021045"
"232","1",2025/12/31 00:00:00,"211371"
"233","2",2025/12/31 00:00:00,"91011976"
"234","1",2025/12/31 00:00:00,"800119"
"235","2",2025/12/31 00:00:00,"525190"
"236","2",2025/12/31 00:00:00,"306948"
"237","2",2025/12/31 00:00:00,"179830"
"238","2",2025/12/31 00:00:00,"91029695"
"239","1",2025/12/31 00:00:00,"449456"
"240","1",2025/12/31 00:00:00,"528564"
"241","2",2025/12/31 00:00:00,"91027460"
"242","1",2025/12/31 00:00:00,"150160"
"243","1",2025/12/31 00:00:00,"91014717"
"244","1",2025/12/31 00:00:00,"452488"
"245","1",2025/12/31 00:00:00,"150042"
"246","1",2025/12/31 00:00:00,"147072"
"247","3",2025/12/31 00:00:00,"306212"
"248","2",2025/12/31 00:00:00,"801282"
"249","1",2025/12/31 00:00:00,"91030481"
"250","1",2025/12/31 00:00:00,"362553"
"251","6",2025/12/31 00:00:00,"488300"
"252","2",2025/12/31 00:00:00,"306200"
"253","1",2025/12/31 00:00:00,"204894"
"254","1",2025/12/31 00:00:00,"91015979"
"255","1",2025/12/31 00:00:00,"149185"
"256","2",2025/12/31 00:00:00,"157757"
"257","2",2025/12/31 00:00:00,"24122617"
"258","1",2025/12/31 00:00:00,"137363"
"259","1",2025/12/31 00:00:00,"91030259"
"260","1",2025/12/31 00:00:00,"138751"
"261","1",2025/12/31 00:00:00,"452834"
"262","1",2025/12/31 00:00:00,"296584"
"263","1",2025/12/31 00:00:00,"388573"
"264","2",2025/12/31 00:00:00,"178268"
"265","2",2025/12/31 00:00:00,"91018780"
"266","1",2025/12/31 00:00:00,"458676"
"267","2",2025/12/31 00:00:00,"137410"
"268","1",2025/12/31 00:00:00,"454118"
"269","1",2025/12/31 00:00:00,"91014932"
"270","1",2025/12/31 00:00:00,"450129"
"271","8",2025/12/31 00:00:00,"142570"
"272","1",2025/12/31 00:00:00,"355776"
"273","1",2025/12/31 00:00:00,"420589"
"274","1",2025/12/31 00:00:00,"290427"
"275","6",2025/12/31 00:00:00,"300692"
"276","2",2025/12/31 00:00:00,"151723"
"277","1",2025/12/31 00:00:00,"460161"
"278","1",2025/12/31 00:00:00,"167642"
"279","1",2025/12/31 00:00:00,"205392"
"280","6",2025/12/31 00:00:00,"807931"
"281","6",2025/12/31 00:00:00,"91022763"
"282","2",2025/12/31 00:00:00,"183845"
"283","2",2025/12/31 00:00:00,"521984"
"284","6",2025/12/31 00:00:00,"304910"
"285","2",2025/12/31 00:00:00,"159009"
"286","2",2025/12/31 00:00:00,"24122438"
"287","2",2025/12/31 00:00:00,"147992"
"288","6",2025/12/31 00:00:00,"459807"
"289","2",2025/12/31 00:00:00,"511922"
"290","2",2025/12/31 00:00:00,"186165"
"291","2",2025/12/31 00:00:00,"368844"
"292","2",2025/12/31 00:00:00,"159972"
"293","1",2025/12/31 00:00:00,"24120630"
"294","2",2025/12/31 00:00:00,"300107"
"295","2",2025/12/31 00:00:00,"480538"
"296","1",2025/12/31 00:00:00,"24120517"
"297","2",2025/12/31 00:00:00,"184378"
"298","2",2025/12/31 00:00:00,"903522"
"299","1",2025/12/31 00:00:00,"138386"
"300","2",2025/12/31 00:00:00,"366948"
"301","2",2025/12/31 00:00:00,"182955"
"302","2",2025/12/31 00:00:00,"142042"
"303","2",2025/12/31 00:00:00,"137299"
"304","2",2025/12/31 00:00:00,"158343"
"305","2",2025/12/31 00:00:00,"91010139"
"306","2",2025/12/31 00:00:00,"163217"
"307","6",2025/12/31 00:00:00,"24122534"
"308","2",2025/12/31 00:00:00,"91025625"
"309","2",2025/12/31 00:00:00,"91014507"
"310","2",2025/12/31 00:00:00,"360919"
"311","2",2025/12/31 00:00:00,"366149"
"312","1",2025/12/31 00:00:00,"143058"
"313","2",2025/12/31 00:00:00,"91012964"
"314","2",2025/12/31 00:00:00,"147240"
"315","6",2025/12/31 00:00:00,"91065480"
"316","1",2025/12/31 00:00:00,"368447"
"317","1",2025/12/31 00:00:00,"91020618"
"318","1",2025/12/31 00:00:00,"443640"
"319","1",2025/12/31 00:00:00,"201385"
"320","1",2025/12/31 00:00:00,"205368"
"321","4",2025/12/31 00:00:00,"463285"
"322","1",2025/12/31 00:00:00,"292822"
"323","1",2025/12/31 00:00:00,"168085"
"324","1",2025/12/31 00:00:00,"153364"
"325","1",2025/12/31 00:00:00,"168048"
"326","1",2025/12/31 00:00:00,"205323"
"327","1",2025/12/31 00:00:00,"142134"
"328","1",2025/12/31 00:00:00,"141083"
"329","6",2025/12/31 00:00:00,"357351"
"330","1",2025/12/31 00:00:00,"455981"
"331","1",2025/12/31 00:00:00,"177751"
"332","1",2025/12/31 00:00:00,"183863"
"333","1",2025/12/31 00:00:00,"149233"
"334","1",2025/12/31 00:00:00,"91062426"
"335","4",2025/12/31 00:00:00,"358047"
"336","1",2025/12/31 00:00:00,"296413"
"337","1",2025/12/31 00:00:00,"292738"
"338","1",2025/12/31 00:00:00,"147320"
"339","1",2025/12/31 00:00:00,"417065"
"340","1",2025/12/31 00:00:00,"204606"
"341","5",2025/12/31 00:00:00,"169309"
"342","2",2025/12/31 00:00:00,"162272"
"343","1",2025/12/31 00:00:00,"140868"
"344","1",2025/12/31 00:00:00,"91027381"
"345","1",2025/12/31 00:00:00,"362346"
"346","1",2025/12/31 00:00:00,"476890"
"347","1",2025/12/31 00:00:00,"211494"
"348","1",2025/12/31 00:00:00,"306407"
"349","1",2025/12/31 00:00:00,"137791"
"350","2",2025/12/31 00:00:00,"369899"
"351","1",2025/12/31 00:00:00,"321465"
"352","1",2025/12/31 00:00:00,"91021986"
"353","2",2025/12/31 00:00:00,"139707"
"354","2",2025/12/31 00:00:00,"366825"
"355","2",2025/12/31 00:00:00,"180979"
"356","1",2025/12/31 00:00:00,"450276"
"357","1",2025/12/31 00:00:00,"162095"
"358","2",2025/12/31 00:00:00,"522566"
"359","5",2025/12/31 00:00:00,"91015518"
"360","2",2025/12/31 00:00:00,"202120"
"361","1",2025/12/31 00:00:00,"453540"
"362","6",2025/12/31 00:00:00,"91019594"
"363","1",2025/12/31 00:00:00,"303764"
"364","2",2025/12/31 00:00:00,"175681"
"365","1",2025/12/31 00:00:00,"154031"
"366","2",2025/12/31 00:00:00,"2517905"
"367","1",2025/12/31 00:00:00,"457164"
"368","1",2025/12/31 00:00:00,"24122385"
"369","1",2025/12/31 00:00:00,"421491"
"370","2",2025/12/31 00:00:00,"180841"
"371","2",2025/12/31 00:00:00,"157604"
"372","2",2025/12/31 00:00:00,"187396"
"373","6",2025/12/31 00:00:00,"443625"
"374","1",2025/12/31 00:00:00,"415696"
"375","1",2025/12/31 00:00:00,"291388"
"376","1",2025/12/31 00:00:00,"144386"
"377","4",2025/12/31 00:00:00,"380878"
"378","2",2025/12/31 00:00:00,"24119793"
"379","1",2025/12/31 00:00:00,"805365"
"380","1",2025/12/31 00:00:00,"140632"
"381","2",2025/12/31 00:00:00,"176440"
"382","2",2025/12/31 00:00:00,"530822"
"383","2",2025/12/31 00:00:00,"187993"
"384","2",2025/12/31 00:00:00,"413847"
"385","2",2025/12/31 00:00:00,"187104"
"386","2",2025/12/31 00:00:00,"188434"
"387","2",2025/12/31 00:00:00,"514605"
"388","1",2025/12/31 00:00:00,"150041"
"389","1",2025/12/31 00:00:00,"203120"
"390","2",2025/12/31 00:00:00,"600306"
"391","2",2025/12/31 00:00:00,"141790"
"392","2",2025/12/31 00:00:00,"155022"
"393","1",2025/12/31 00:00:00,"453582"
"394","1",2025/12/31 00:00:00,"295089"
"395","2",2025/12/31 00:00:00,"184382"
"396","1",2025/12/31 00:00:00,"441882"
"397","1",2025/12/31 00:00:00,"471168"
"398","1",2025/12/31 00:00:00,"145265"
"399","1",2025/12/31 00:00:00,"172644"
"400","1",2025/12/31 00:00:00,"353590"
"401","2",2025/12/31 00:00:00,"516145"
"402","1",2025/12/31 00:00:00,"292499"
"403","2",2025/12/31 00:00:00,"298116"
"404","1",2025/12/31 00:00:00,"533763"
"405","4",2025/12/31 00:00:00,"91027009"
"406","2",2025/12/31 00:00:00,"455048"
"407","4",2025/12/31 00:00:00,"356160"
"408","1",2025/12/31 00:00:00,"298370"
"409","1",2025/12/31 00:00:00,"203186"
"410","1",2025/12/31 00:00:00,"323324"
"411","1",2025/12/31 00:00:00,"204093"
"412","1",2025/12/31 00:00:00,"91021841"
"413","1",2025/12/31 00:00:00,"480913"
"414","1",2025/12/31 00:00:00,"324267"
"415","6",2025/12/31 00:00:00,"301694"
"416","1",2025/12/31 00:00:00,"460434"
"417","2",2025/12/31 00:00:00,"533706"
"418","2",2025/12/31 00:00:00,"189184"
"419","2",2025/12/31 00:00:00,"601331"
"420","1",2025/12/31 00:00:00,"189820"
"421","2",2025/12/31 00:00:00,"91033580"
"422","2",2025/12/31 00:00:00,"143848"
"423","2",2025/12/31 00:00:00,"513101"
"424","2",2025/12/31 00:00:00,"364492"
"425","1",2025/12/31 00:00:00,"91022036"
"426","4",2025/12/31 00:00:00,"172253"
"427","1",2025/12/31 00:00:00,"292147"
"428","1",2025/12/31 00:00:00,"91034695"
"429","1",2025/12/31 00:00:00,"368917"
"430","1",2025/12/31 00:00:00,"167641"
"431","1",2025/12/31 00:00:00,"208188"
"432","2",2025/12/31 00:00:00,"513146"
"433","1",2025/12/31 00:00:00,"458643"
"434","1",2025/12/31 00:00:00,"201600"
"435","1",2025/12/31 00:00:00,"362358"
"436","1",2025/12/31 00:00:00,"300407"
"437","5",2025/12/31 00:00:00,"138164"
"438","1",2025/12/31 00:00:00,"184353"
"439","1",2025/12/31 00:00:00,"210092"
"440","6",2025/12/31 00:00:00,"161554"
"441","2",2025/12/31 00:00:00,"91029233"
"442","4",2025/12/31 00:00:00,"353347"
"443","1",2025/12/31 00:00:00,"296144"
"444","2",2025/12/31 00:00:00,"139957"
"445","1",2025/12/31 00:00:00,"450096"
"446","1",2025/12/31 00:00:00,"171621"
"447","1",2025/12/31 00:00:00,"212633"
"448","1",2025/12/31 00:00:00,"454850"
"449","1",2025/12/31 00:00:00,"143733"
"450","1",2025/12/31 00:00:00,"210449"
"451","1",2025/12/31 00:00:00,"184087"
"452","1",2025/12/31 00:00:00,"164991"
"453","2",2025/12/31 00:00:00,"91029195"
"454","5",2025/12/31 00:00:00,"177122"
"455","2",2025/12/31 00:00:00,"512583"
"456","1",2025/12/31 00:00:00,"206898"
"457","5",2025/12/31 00:00:00,"174662"
"458","1",2025/12/31 00:00:00,"171735"
"459","1",2025/12/31 00:00:00,"180799"
"460","2",2025/12/31 00:00:00,"200094"
"461","6",2025/12/31 00:00:00,"91023691"
"462","2",2025/12/31 00:00:00,"91014306"
"463","2",2025/12/31 00:00:00,"387360"
"464","2",2025/12/31 00:00:00,"91066021"
"465","1",2025/12/31 00:00:00,"91011151"
"466","1",2025/12/31 00:00:00,"176735"
"467","2",2025/12/31 00:00:00,"91065614"
"468","2",2025/12/31 00:00:00,"306248"
"469","1",2025/12/31 00:00:00,"355349"
"470","5",2025/12/31 00:00:00,"166547"
"471","1",2025/12/31 00:00:00,"202728"
"472","1",2025/12/31 00:00:00,"183315"
"473","1",2025/12/31 00:00:00,"456343"
"474","1",2025/12/31 00:00:00,"189799"
"475","2",2025/12/31 00:00:00,"202737"
"476","2",2025/12/31 00:00:00,"360074"
"477","2",2025/12/31 00:00:00,"149096"
"478","2",2025/12/31 00:00:00,"509266"
"479","1",2025/12/31 00:00:00,"203054"
"480","4",2025/12/31 00:00:00,"91021561"
"481","2",2025/12/31 00:00:00,"480059"
"482","1",2025/12/31 00:00:00,"137553"
"483","1",2025/12/31 00:00:00,"414867"
"484","1",2025/12/31 00:00:00,"170646"
"485","1",2025/12/31 00:00:00,"298526"
"486","1",2025/12/31 00:00:00,"215018"
"487","1",2025/12/31 00:00:00,"213089"
"488","1",2025/12/31 00:00:00,"137483"
"489","2",2025/12/31 00:00:00,"601509"
"490","1",2025/12/31 00:00:00,"177064"
"491","2",2025/12/31 00:00:00,"533821"
"492","1",2025/12/31 00:00:00,"450150"
"493","1",2025/12/31 00:00:00,"368433"
"494","1",2025/12/31 00:00:00,"807322"
"495","1",2025/12/31 00:00:00,"144936"
"496","2",2025/12/31 00:00:00,"480514"
"497","1",2025/12/31 00:00:00,"170590"
"498","1",2025/12/31 00:00:00,"454982"
"499","1",2025/12/31 00:00:00,"151863"
"500","1",2025/12/31 00:00:00,"91023872"
"501","2",2025/12/31 00:00:00,"163138"
"502","1",2025/12/31 00:00:00,"150445"
"503","2",2025/12/31 00:00:00,"511419"
"504","2",2025/12/31 00:00:00,"411356"
"505","2",2025/12/31 00:00:00,"160631"
"506","6",2025/12/31 00:00:00,"91015981"
"507","1",2025/12/31 00:00:00,"301904"
"508","1",2025/12/31 00:00:00,"167603"
"509","1",2025/12/31 00:00:00,"441155"
"510","2",2025/12/31 00:00:00,"385864"
"511","1",2025/12/31 00:00:00,"167605"
"512","1",2025/12/31 00:00:00,"451642"
"513","1",2025/12/31 00:00:00,"154008"
"514","1",2025/12/31 00:00:00,"290346"
"515","1",2025/12/31 00:00:00,"203805"
"516","5",2025/12/31 00:00:00,"172624"
"517","1",2025/12/31 00:00:00,"91021230"
"518","1",2025/12/31 00:00:00,"166400"
"519","1",2025/12/31 00:00:00,"352158"
"520","2",2025/12/31 00:00:00,"160301"
"521","1",2025/12/31 00:00:00,"143656"
"522","2",2025/12/31 00:00:00,"606510"
"523","1",2025/12/31 00:00:00,"172645"
"524","1",2025/12/31 00:00:00,"471599"
"525","2",2025/12/31 00:00:00,"355981"
"526","1",2025/12/31 00:00:00,"369142"
"527","1",2025/12/31 00:00:00,"421132"
"528","2",2025/12/31 00:00:00,"181689"
"529","1",2025/12/31 00:00:00,"449975"
"530","2",2025/12/31 00:00:00,"91015844"
"531","2",2025/12/31 00:00:00,"91027738"
"532","1",2025/12/31 00:00:00,"471266"
"533","1",2025/12/31 00:00:00,"530727"
"534","1",2025/12/31 00:00:00,"170915"
"535","1",2025/12/31 00:00:00,"457814"
"536","2",2025/12/31 00:00:00,"168875"
"537","2",2025/12/31 00:00:00,"360499"
"538","1",2025/12/31 00:00:00,"301103"
"539","2",2025/12/31 00:00:00,"388673"
"540","2",2025/12/31 00:00:00,"178988"
"541","2",2025/12/31 00:00:00,"188254"
"542","2",2025/12/31 00:00:00,"24122554"
"543","2",2025/12/31 00:00:00,"163738"
"544","2",2025/12/31 00:00:00,"157284"
"545","2",2025/12/31 00:00:00,"162649"
"546","2",2025/12/31 00:00:00,"185234"
"547","2",2025/12/31 00:00:00,"91019876"
"548","2",2025/12/31 00:00:00,"359037"
"549","1",2025/12/31 00:00:00,"24120347"
"550","1",2025/12/31 00:00:00,"152311"
"551","2",2025/12/31 00:00:00,"91010193"
"552","1",2025/12/31 00:00:00,"159858"
"553","1",2025/12/31 00:00:00,"91010388"
"554","2",2025/12/31 00:00:00,"442948"
"555","1",2025/12/31 00:00:00,"211137"
"556","2",2025/12/31 00:00:00,"187495"
"557","2",2025/12/31 00:00:00,"139469"
"558","1",2025/12/31 00:00:00,"455671"
"559","2",2025/12/31 00:00:00,"188800"
"560","2",2025/12/31 00:00:00,"202337"
"561","2",2025/12/31 00:00:00,"91065679"
"562","2",2025/12/31 00:00:00,"411943"
"563","2",2025/12/31 00:00:00,"181663"
"564","2",2025/12/31 00:00:00,"350852"
"565","2",2025/12/31 00:00:00,"91010411"
"566","1",2025/12/31 00:00:00,"204129"
"567","2",2025/12/31 00:00:00,"390514"
"568","6",2025/12/31 00:00:00,"359313"
"569","3",2025/12/31 00:00:00,"354772"
"570","2",2025/12/31 00:00:00,"185359"
"571","1",2025/12/31 00:00:00,"169844"
"572","2",2025/12/31 00:00:00,"91024377"
"573","2",2025/12/31 00:00:00,"138098"
"574","1",2025/12/31 00:00:00,"527718"
"575","2",2025/12/31 00:00:00,"24122359"
"576","2",2025/12/31 00:00:00,"360220"
"577","2",2025/12/31 00:00:00,"173698"
"578","1",2025/12/31 00:00:00,"205152"
"579","1",2025/12/31 00:00:00,"91060649"
"580","1",2025/12/31 00:00:00,"451688"
"581","1",2025/12/31 00:00:00,"165935"
"582","1",2025/12/31 00:00:00,"91060650"
"583","4",2025/12/31 00:00:00,"448204"
"584","1",2025/12/31 00:00:00,"452930"
"585","6",2025/12/31 00:00:00,"91028633"
"586","1",2025/12/31 00:00:00,"213569"
"587","2",2025/12/31 00:00:00,"418650"
"588","2",2025/12/31 00:00:00,"513973"
"589","2",2025/12/31 00:00:00,"445556"
"590","1",2025/12/31 00:00:00,"301268"
"591","2",2025/12/31 00:00:00,"601529"
"592","2",2025/12/31 00:00:00,"368861"
"593","2",2025/12/31 00:00:00,"321814"
"594","2",2025/12/31 00:00:00,"512814"
"595","1",2025/12/31 00:00:00,"457535"
"596","2",2025/12/31 00:00:00,"804194"
"597","1",2025/12/31 00:00:00,"416063"
"598","2",2025/12/31 00:00:00,"150831"
"599","1",2025/12/31 00:00:00,"358077"
"600","1",2025/12/31 00:00:00,"208743"
