OBJECTID;Código IPS;Nombre IPS;Nombre sede;Número sede;Dirección;Telefono contacto;Correco electrónico;Tipo de naturaleza;Latitud;Longitud
13;1100107521;Clínica Nueva;Clínica Nueva;1;CL 45 F 16 A 11;3274444 ext 515-530;calidad@clinicanueva.com;Privada;4,63426156;-74,07096117
14;1100107782;Salud Sura Calle 100 Bogotá;Salud Sura Calle 100 Bogotá;9;Cl 100 19 A 35;(1) 487 38 88 / 3164625445;rqext@suramericana.com.co / gpgonzalez@sura.com.co;Privada;4,68719056;-74,05355502
15;1100107939;Clínica De La Mujer;Clínica de La Mujer;1;KR 19 C 91 17;6161799- 3506005706;sdirmedica@clinicadelamujer.com.co;Privada;4,677681024;-74,05725003
16;1100108171;Clínica Infantil Colsubsidio;Clínica Infantil Colsubsidio;2;CL 66 10 48;7467310 extensión 75210;calidad.colsubsidio@colsubsidio.com;Privada;4,652110294;-74,06108381
17;1100108171;Centro Médico Colsubsidio Quiroga;Centro Médico Colsubsidio Quiroga;36;CL 38 SUR 18 30;7607461 Ext. 101;calidad.colsubsidio@colsubsidio.com;Privada;4,576534331;-74,11845225
18;1100108437;Clínica De Ortopedia Y Accidentes Laborales;Clínica de Ortopedia Y Accidentes Laborales;1;CL 6 A 70 06;;gerenciasmo@coal.clinic;Privada;4,63052466;-74,13091643
19;1100108679;Sociedad De Cirugía De Bogotá - Hospital De San José;Sociedad de Cirugía de Bogotá - Hospital de San José;1;CL 10 18 75;3538000 ext 523 o 509;calidad@hospitaldesanjose.org.co;Privada;4,603340282;-74,08636686
20;1100108952;Clínica Palermo;Clínica Palermo;1;CL 45 C 22 02;5727777 - 7420540;GestiondeCalidad@clinicapalermo.com.co;Privada;4,636173439;-74,07388538
21;1100109104;Clínica Juan N Corpas Ltda;Clínica Juan N Corpas Ltda;1;KR 111 159 A 61;6865000 Ext.1060 - 3233103491;dir_calidad@clinicajuanncorpas.com;Privada;4,76076659;-74,09259788
22;1100109111;Fundación Cardio Infantil Instituto De Cardiología;Fundación Cardio Infantil Instituto de Cardiología;1;CL 163 A 13 B 60;6672727 Ext. 53304 Cel. 3183569506;pcasallas@lacardio.org;Privada;4,741852157;-74,03404093
23;1100109178;Centro Policlínico Del Olaya;Centro Policlínico Del Olaya;2;KR 20 23 23 SUR;3612888;zayda.rodriguez@cpolaya.com.co;Privada;4,583317769;-74,10552823
24;1100109186;Clínica Infantil Santa María Del Lago;Clínica Infantil Santa María Del Lago;68;CL 73 A 76 66;3406767;nomorales@colsanitas.com;Privada;4,69196272;-74,09812276
25;1100109186;Clínica Reina Sofia Pediátrica Y Mujer;Clínica Reina Sofia Pediátrica Y Mujer;55;Ac 127 20 56;6466060;nomorales@colsanitas.com;Privada;4,706511864;-74,05085662
26;1100109186;Clínica Reina Sofia;Clínica Reina Sofia;8;KR 21 127 03;6466060 ext 5717528;nomorales@colsanitas.com;Privada;4,706858552;-74,05188983
27;1100109186;Clínica Universitaria Colombia;Clínica Universitaria Colombia;30;CL 23 66 46;5948650;nomorales@colsanitas.com;Privada;4,648023533;-74,10644576
28;1100109224;Empresa Social Del Estado Hospital Universitario De La Samaritana;Empresa Social Del Estado Hospital Universitario de la Samaritana;1;KR 8 0 29 SUR;4077075 ext 10702;gerencia@hus.org.co;Pública;4,587251741;-74,08371868
29;1100109361;Clínica De Marly;Clínica de Marly;1;CL 50 9 67;3436600;cmarly@clinicademarly.com.co;Privada;4,636601684;-74,06508256
30;1100109456;Hospital Universitario San Ignacio;Hospital Universitario San Ignacio;1;KR 7 40 62;5946161;calidad@husi.org.co;Privada;4,62955675;-74,06544489
31;1100109523;Virrey Solis Ips S.A - Clínica Suba;Virrey Solis Ips S.A - Clínica Suba;15;AC 145 95 B 22;4473535 EXT 278, 476, 248;calidad@virreysolisips.com.co;Privada;4,740914806;-74,08858869
32;1100109523;Virrey Solis Ips.S.A. Calle 98;Virrey Solis Ips.S.A. Calle 98;17;KR 49 98 A 28;4473535 EXT 278, 476, 248;calidad@virreysolisips.com.co;Privada;4,686812913;-74,0607537
33;1100109523;Virrey Solis I.P.S S.A. Américas;Virrey Solis I.P.S S.A. Américas;10;AV LAS AMERICAS 66 A 27;4473535 EXT 278, 476, 248;calidad@virreysolisips.com.co;Privada;4,627712374;-74,12139004
34;1100109599;Clínica Del Country Ips;Clínica Del Country IPS;1;KR 16 82 57;6013905099;notificacionescdc@clinicadelcountry.com;Privada;4,668923672;-74,05690139
35;1100109666;Clínica Del Occidente S.A.;Clínica Del Occidente S.A.;1;AV DE LAS AMERICAS 71 C 29;4254620 Ext 150;calidad@clinicadeloccidente.com;Privada;4,629379569;-74,13577069
36;1100116133;Fundación Hospital Infantil Universitario De San José;Fundación Hospital Infantil Universitario de San José;1;KR 52 67 A 71;4377540;direccion.general@hospitalinfantildesanjose.org.co;Privada;4,665078432;-74,07892561
37;1100116938;Hospital Militar Central;Hospital Militar Central;1;TV 3C 49 02;3486868 ext: 3001/3002 3158653821;ayudantia@homil.gov.co;Pública;4,63566437;-74,0623356
38;1100118642;Hospital Universitario Barrios Unidos-Mederi;Hospital Universitario Barrios Unidos-Mederi;2;CL 66 A 52 25;5600520 ext. 4140. 6303068;ana.ulloa@mederi.com.co;Privada;4,66379628;-74,08011198
39;1100118642;Hospital Universitario Mayor-Mederi;Hospital Universitario Mayor-Mederi;1;CL 24 29 45;7055999 Ext 4140;ana.ulloa@mederi.com.co;Privada;4,623426482;-74,08220332
40;1100121564;Clínica Medicentro Familiar Sede Suba;Clínica Medicentro Familiar Sede Suba;4;KR 94B 132A 65;3108077965;lidercalidad@clinicamedicentrofamiliar.com;Privada;4,732732336;-74,0892058
41;1100121564;Medicentro Familiar Ips Sas;Medicentro Familiar Ips SAS;1;CL 20 98 62;3108062745-3118895118;lidercalidad@clinicamedicentrofamiliar.com;Privada;4,674393381;-74,14212554
42;1100122150;Clínica Medical Sas - Sede Toberin;Clínica Medical SAS - Sede Toberin;7;KR 21 169 15;3168757999;coor.calidad@clinicamedical.com.co;Privada;4,749845655;-74,04421046
43;1100122150;Clínica Medical S.A.S. Sede Santa Juliana;Clínica Medical S.A.S. Sede Santa Juliana;3;CL 1D 17A 35;2428440 - 316 8757999;coor.calidad@clinicamedical.com.co;Privada;4,593035923;-74,0902402
44;1100122150;Clínica Medical S.A.S.;Clínica Medical S.A.S.;1;CL 36 Sur 77 33;4505200 3168757999;coor.calidad@clinicamedical.com.co;Privada;4,621861977;-74,14959202
45;1100125070;Administradora Clínica La Colina Sas;Administradora Clínica La Colina SAS;1;CL 167 72 07;6013905355;notificacionesclc@clinicadelcountry.com;Privada;4,750129591;-74,06544507
46;1100125297;Clínica Los Nogales Sas;Clínica Los Nogales SAS;1;CL 95 23 61;5937000 Ext: 2045 / 2036 Cel: 3147130121;notificacioneslegales@clinicanogales.com;Privada;4,682972907;-74,05708076
47;1100130289;Unidad De Servicios De Salud Victoria;Unidad de Servicios de Salud Victoria;29;DG 39 SUR 3 20 ESTE;3282828 EXT 14131, 14132, 14192;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,55276886;-74,09441065
48;1100130289;Unidad De Servicios De Salud Santa Clara Hospital Universitario;Unidad de Servicios de Salud Santa Clara Hospital Universitario;1;KR 14 B 1 45 SUR;3282828 ext 18191, 18000, 18151;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,591287326;-74,09242934
49;1100130289;Unidad De Servicios De Salud Diana Turbay;Unidad de Servicios de Salud Diana Turbay;18;KR 1f 48x 40 sur;3282828;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,545547461;-74,10645095
50;1100130289;Unidad De Servicios De Salud San Blas;Unidad de Servicios de Salud San Blas;2;TV 5 ESTE 19 50 SUR;3282828 EXT 13192, 13941,13620;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,56979213;-74,08328209
51;1100130289;Unidad De Servicios De Salud Chircales;Unidad de Servicios de Salud Chircales;19;TV 5 L BIS 48 F 69 SUR;3282828 EXT 21341, 21181,21621;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,557680165;-74,11221404
52;1100130289;Unidad De Servicios De Salud Jorge Eliecer Gaitán;Unidad de Servicios de Salud Jorge Eliecer Gaitán;17;KR 4 A ESTE 5 20;3282828 ETX 16912, 16611,16571;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,590109697;-74,06992231
53;1100130289;Unidad De Servicios De Salud Perseverancia;Unidad de Servicios de Salud Perseverancia;15;KR 5 33 A 45;3282828 ETX 25181,25191;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,619986781;-74,06551011
54;1100130289;Unidad De Servicios De Salud Samper Mendoza;Unidad de Servicios de Salud Samper Mendoza;16;KR 22 22 A 26;3282828 EXT 19191,19181,19611;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,61676289;-74,08160975
55;1100130289;Unidad De Servicios De Salud Olaya;Unidad de Servicios de Salud Olaya;20;KR 21 22 51 SUR;3282828 EXT 24192,24191,24851;radicacionmedioselectronicos@subredcentrooriente.gov.co;Pública;4,58373004;-74,10577165
56;1100130291;Unidad De Servicios De Salud Centro De Servicios Especializado;Unidad de Servicios de Salud Centro de Servicios Especializado;14;KR 104 152C 50;4431790;subrednorte@saludcapital.gov.co;Pública;4,75491944;-74,0959097
57;1100130291;Unidad De Servicios De Salud Gaitana I;Unidad de Servicios de Salud Gaitana I;16;TV 126 134 88;4431790;subrednorte@saludcapital.gov.co;Pública;4,740198364;-74,10929487
58;1100130291;Unidad De Servicios De Salud Emaus;Unidad de Servicios de Salud Emaus;4;CL 64 C 121 76;4431790;subrednorte@saludcapital.gov.co;Pública;4,715286266;-74,14043267
59;1100130291;Unidad De Servicios De Salud Engativá Calle 80;Unidad de Servicios de Salud Engativá Calle 80;3;TV 100 A 80 A 50;4431790;subrednorte@saludcapital.gov.co;Pública;4,711261405;-74,10942564
60;1100130291;Unidad De Servicios De Salud Simón Bolívar;Unidad de Servicios de Salud Simón Bolívar;1;CL 165 7 06;4431790;subrednorte@saludcapital.gov.co;Pública;4,742429776;-74,02302477
61;1100130291;Unidad De Servicios De Salud Chapinero;Unidad de Servicios de Salud Chapinero;23;CL 66 15 41;4431790;subrednorte@saludcapital.gov.co;Pública;4,653492976;-74,06567865
62;1100130294;Unidad De Servicios De Salud Meissen;Unidad de Servicios de Salud Meissen;2;KR 18 B 60 G 36 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,559554594;-74,1387034
63;1100130294;Unidad De Servicios De Salud El Tunal;Unidad de Servicios de Salud El Tunal;1;KR 20 47B 35 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,57339836;-74,12877844
64;1100130294;Unidad De Servicios De Salud Vista Hermosa;Unidad de Servicios de Salud Vista Hermosa;28;KR 18 C 66 A 55 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,552658624;-74,14469337
65;1100130294;Unidad De Servicios De Salud Ambulatoria Tunjuelito;Unidad de Servicios de Salud Ambulatoria Tunjuelito;7;AK 14 51 21 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,55846294;-74,12335177
66;1100130294;Unidad De Servicios De Salud Nazareth;Unidad de Servicios de Salud Nazareth;49;Corregimiento de Nazareth de Sumapaz;3108879305;subredsur@saludcapital.gov.co;Pública;4,17226499;-74,14686646
67;1100130294;Unidad De Servicios De Salud Jerusalén;Unidad de Servicios de Salud Jerusalén;13;CL 77 85 B 13 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,572147614;-74,16336049
68;1100130294;Unidad De Servicios De Salud Usme;Unidad de Servicios de Salud Usme;30;KR 13 135 A 42 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,473131193;-74,12177617
69;1100130294;Unidad De Servicios De Salud San Juan De Sumapaz;Unidad de Servicios de Salud San Juan de Sumapaz;46;Corregimiento San Juan de Sumapáz;3219007751;subredsur@saludcapital.gov.co;Pública;4,029029639;-74,31513144
70;1100130294;Unidad De Servicios De Salud Santa Librada I;Unidad de Servicios de Salud Santa Librada I;31;KR 9 B 75 49 SUR;7300000 Opción 0;subredsur@saludcapital.gov.co;Pública;4,51465648;-74,11348183
71;1100130296;Centro De Salud Trinidad Galán;Centro de Salud Trinidad Galán;22;KR 60 4 15;2607876;contactenos@subredsuroccidente.gov.co;Pública;4,622407222;-74,12056802
72;1100130296;Hospital Occidente De Kennedy;Hospital Occidente de Kennedy;1;TV 74 F 40 B 54 SUR;3849160;contactenos@subredsuroccidente.gov.co;Pública;4,616392545;-74,15339295
73;1100130296;Hospital Fontibón;Hospital Fontibón;25;KR 99 16i 41;4860033;contactenos@subredsuroccidente.gov.co;Pública;4,671713941;-74,14617706
74;1100130296;Hospital Pediátrico Tintal;Hospital Pediátrico Tintal;3;CL 10 86 58;5550950;contactenos@subredsuroccidente.gov.co;Pública;4,65094885;-74,14898465
75;1100130296;Centro De Salud Patio Bonito;Centro de Salud Patio Bonito;4;DG 38 sur 82 30;4547018;contactenos@subredsuroccidente.gov.co;Pública;4,634488338;-74,16109024
76;1100130296;Hospital De Bosa;Hospital de Bosa;54;CL 73 Sur 100 A 53;6013849160;contactenos@subredsuroccidente.gov.co;Pública;4,635132027;-74,20636249
77;1100130970;Grupo Empresarial Jarbsalud Ips S.A.S.;Grupo Empresarial Jarbsalud Ips S.A.S.;1;CL 33 bis 15 64;4673216 - 7561334;jarbsalud.gerencia@gmail.com;Privada;4,621782838;-74,07120283
78;1100133903;Loscobos Medical Center Sas - Loscobos;Loscobos Medical Center SAS - Loscobos;1;AK 9 131 A 40;7457581 ext 2257;calidad@loscobosmc.com;Privada;4,71022723;-74,03280246
79;1100134091;Clininorte 161;Clininorte 161;1;Ac 161 16 C 39;3188604159;gerencia@clinicadeltrabajador.com;Privada;4,739910345;-74,04046285
80;1100134552;Sociedad Medica Alcalá Sas;Sociedad Medica Alcalá SAS;1;AK 19 135 24;3232255717-3114849286;calidad@smaclinica.com;Privada;4,72003429;-74,04646443
81;1100135025;Clínica Nueva El Lago S.A.S - Sede Calle 76;Clínica Nueva El Lago S.A.S - Sede Calle 76;1;CL 76 15 55;3078061 - 3123459128;info@clinicanuevaellago.com;Privada;4,662943844;-74,05967674
82;1100136278;Clínica Azul;Clínica Azul;1;KR 49 D 91 33;3184871071;calidadca@clinicaazul.co;Privada;4,679864053;-74,06447125
83;1100136300;Central De Urgencias Norte;Central de Urgencias Norte;32;CL 163 A 22 22;6466060 Ext 5719469;mnempeque@epssanitas.com;Privada;4,744373714;-74,04641604
84;1100136300;Unidad De Urgencias Puente Aranda;Unidad de Urgencias Puente Aranda;33;KR 62 14 41;6466060;mnempeque@epssanitas.com;Privada;4,634554599;-74,11244064
