codigo_localidad,nombre_localidad,area,ano,poblacion_total,poblacion_hombres,poblacion_mujeres,poblacion_0_5,poblacion_6_11,poblacion_12_17,poblacion_5_17,poblacion_18_59,poblacion_60_mas
03,Santa Fe,Cabecera Municipal,2019,105004,52279,52725,7747,7562,8142,16952,67462,14091
03,Santa Fe,Centros Poblados y Rural Disperso,2019,922,472,450,140,119,117,258,472,74
03,Santa Fe,Total,2019,105926,52751,53175,7887,7681,8259,17210,67934,14165
04,San Cristóbal,Cabecera Municipal,2019,392261,189882,202379,33512,33236,36610,75309,241149,47754
04,San Cristóbal,Centros Poblados y Rural Disperso,2019,61,24,37,8,4,2,6,36,11
04,San Cristóbal,Total,2019,392322,189906,202416,33520,33240,36612,75315,241185,47765
05,Usme,Cabecera Municipal,2019,366436,179231,187205,34979,35384,36661,77728,222538,36874
05,Usme,Centros Poblados y Rural Disperso,2019,8451,4359,4092,1041,893,908,1947,4762,847
05,Usme,Total,2019,374887,183590,191297,36020,36277,37569,79675,227300,37721
06,Tunjuelito,Cabecera Municipal,2019,175481,85805,89676,13666,13523,14315,30059,110369,23608
06,Tunjuelito,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
06,Tunjuelito,Total,2019,175481,85805,89676,13666,13523,14315,30059,110369,23608
07,Bosa,Cabecera Municipal,2019,707173,340010,367163,64015,64618,68908,144191,445850,63782
07,Bosa,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
07,Bosa,Total,2019,707173,340010,367163,64015,64618,68908,144191,445850,63782
08,Kennedy,Cabecera Municipal,2019,1027373,493558,533815,80496,81344,86715,181555,654701,124117
08,Kennedy,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
08,Kennedy,Total,2019,1027373,493558,533815,80496,81344,86715,181555,654701,124117
09,Fontibón,Cabecera Municipal,2019,377118,178158,198960,25325,25834,29161,59194,245264,51534
09,Fontibón,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
09,Fontibón,Total,2019,377118,178158,198960,25325,25834,29161,59194,245264,51534
10,Engativá,Cabecera Municipal,2019,802780,379603,423177,52533,53955,60343,123268,516580,119369
10,Engativá,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
10,Engativá,Total,2019,802780,379603,423177,52533,53955,60343,123268,516580,119369
11,Suba,Cabecera Municipal,2019,1189086,559950,629136,87519,84738,93091,192322,762210,161528
11,Suba,Centros Poblados y Rural Disperso,2019,3558,1823,1735,373,344,345,739,2111,385
11,Suba,Total,2019,1192644,561773,630871,87892,85082,93436,193061,764321,161913
12,Barrios Unidos,Cabecera Municipal,2019,138316,65700,72616,7871,7620,8779,17710,89086,24960
12,Barrios Unidos,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
12,Barrios Unidos,Total,2019,138316,65700,72616,7871,7620,8779,17710,89086,24960
13,Teusaquillo,Cabecera Municipal,2019,152414,69301,83113,7264,6720,7629,15523,100988,29813
13,Teusaquillo,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
13,Teusaquillo,Total,2019,152414,69301,83113,7264,6720,7629,15523,100988,29813
14,Los Mártires,Cabecera Municipal,2019,82957,38757,44200,5707,5472,6123,12576,53740,11915
14,Los Mártires,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
14,Los Mártires,Total,2019,82957,38757,44200,5707,5472,6123,12576,53740,11915
15,Antonio Nariño,Cabecera Municipal,2019,80095,38097,41998,5157,5384,6203,12347,49908,13443
15,Antonio Nariño,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
15,Antonio Nariño,Total,2019,80095,38097,41998,5157,5384,6203,12347,49908,13443
16,Puente Aranda,Cabecera Municipal,2019,247237,120652,126585,14862,15830,17821,36122,158669,40055
16,Puente Aranda,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
16,Puente Aranda,Total,2019,247237,120652,126585,14862,15830,17821,36122,158669,40055
17,La Candelaria,Cabecera Municipal,2019,17345,9085,8260,815,853,1033,2010,11764,2880
17,La Candelaria,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
17,La Candelaria,Total,2019,17345,9085,8260,815,853,1033,2010,11764,2880
18,Rafael Uribe Uribe,Cabecera Municipal,2019,372981,184454,188527,30591,30332,32576,67995,231474,48008
18,Rafael Uribe Uribe,Centros Poblados y Rural Disperso,2019,0,0,0,0,0,0,0,0,0
18,Rafael Uribe Uribe,Total,2019,372981,184454,188527,30591,30332,32576,67995,231474,48008
19,Ciudad Bolivar,Cabecera Municipal,2019,619706,304313,315393,61473,58686,61012,129497,377635,60900
19,Ciudad Bolivar,Centros Poblados y Rural Disperso,2019,8964,4433,4531,1171,1144,961,2329,4827,861
19,Ciudad Bolivar,Total,2019,628670,308746,319924,62644,59830,61973,131826,382462,61761
20,Sumapaz,Cabecera Municipal,2019,0,0,0,0,0,0,0,0,0
20,Sumapaz,Centros Poblados y Rural Disperso,2019,3298,1682,1616,361,353,356,767,1861,367
20,Sumapaz,Total,2019,3298,1682,1616,361,353,356,767,1861,367
01,Usaquén,Cabecera Municipal,2020,563993,259805,304188,36487,34278,35620,75907,354356,103252
01,Usaquén,Centros Poblados y Rural Disperso,2020,546,235,311,44,79,108,195,239,76
01,Usaquén,Total,2020,564539,260040,304499,36531,34357,35728,76102,354595,103328
02,Chapinero,Cabecera Municipal,2020,168813,80931,87882,10477,8131,7857,17502,114448,27900
02,Chapinero,Centros Poblados y Rural Disperso,2020,973,505,468,109,75,78,171,596,115
02,Chapinero,Total,2020,169786,81436,88350,10586,8206,7935,17673,115044,28015
03,Santa Fe,Cabecera Municipal,2020,106481,53041,53440,8014,7542,7981,16840,68759,14185
03,Santa Fe,Centros Poblados y Rural Disperso,2020,977,503,474,147,125,123,270,500,82
03,Santa Fe,Total,2020,107458,53544,53914,8161,7667,8104,17110,69259,14267
04,San Cristóbal,Cabecera Municipal,2020,397348,192065,205283,34265,32949,35828,74170,244186,50120
04,San Cristóbal,Centros Poblados y Rural Disperso,2020,62,24,38,8,4,2,6,37,11
04,San Cristóbal,Total,2020,397410,192089,205321,34273,32953,35830,74176,244223,50131
05,Usme,Cabecera Municipal,2020,376008,184591,191417,36348,35516,36542,77815,228167,39435
05,Usme,Centros Poblados y Rural Disperso,2020,8935,4613,4322,1085,939,943,2037,5043,925
05,Usme,Total,2020,384943,189204,195739,37433,36455,37485,79852,233210,40360
06,Tunjuelito,Cabecera Municipal,2020,178667,87963,90704,14712,13472,14174,29895,111779,24530
06,Tunjuelito,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
06,Tunjuelito,Total,2020,178667,87963,90704,14712,13472,14174,29895,111779,24530
07,Bosa,Cabecera Municipal,2020,717694,345148,372546,64203,64616,67896,143348,453111,67868
07,Bosa,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
07,Bosa,Total,2020,717694,345148,372546,64203,64616,67896,143348,453111,67868
08,Kennedy,Cabecera Municipal,2020,1034379,498446,535933,78029,80774,85145,179358,659756,130675
08,Kennedy,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
08,Kennedy,Total,2020,1034379,498446,535933,78029,80774,85145,179358,659756,130675
09,Fontibón,Cabecera Municipal,2020,386864,182187,204677,25477,25917,28971,59233,251544,54955
09,Fontibón,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
09,Fontibón,Total,2020,386864,182187,204677,25477,25917,28971,59233,251544,54955
10,Engativá,Cabecera Municipal,2020,811472,384107,427365,51214,54207,59189,122367,521636,125226
10,Engativá,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
10,Engativá,Total,2020,811472,384107,427365,51214,54207,59189,122367,521636,125226
11,Suba,Cabecera Municipal,2020,1224026,576629,647397,89041,86915,92385,194168,781533,174152
11,Suba,Centros Poblados y Rural Disperso,2020,3761,1927,1834,390,359,363,775,2229,420
11,Suba,Total,2020,1227787,578556,649231,89431,87274,92748,194943,783762,174572
12,Barrios Unidos,Cabecera Municipal,2020,143265,68978,74287,8398,7798,8778,17866,92258,26033
12,Barrios Unidos,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
12,Barrios Unidos,Total,2020,143265,68978,74287,8398,7798,8778,17866,92258,26033
13,Teusaquillo,Cabecera Municipal,2020,161222,71569,89653,7694,7079,7738,16080,106915,31796
13,Teusaquillo,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
13,Teusaquillo,Total,2020,161222,71569,89653,7694,7079,7738,16080,106915,31796
14,Los Mártires,Cabecera Municipal,2020,83590,37781,45809,5800,5650,5862,12476,54767,11511
14,Los Mártires,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
14,Los Mártires,Total,2020,83590,37781,45809,5800,5650,5862,12476,54767,11511
15,Antonio Nariño,Cabecera Municipal,2020,81472,38539,42933,5708,5277,6097,12202,50675,13715
15,Antonio Nariño,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
15,Antonio Nariño,Total,2020,81472,38539,42933,5708,5277,6097,12202,50675,13715
16,Puente Aranda,Cabecera Municipal,2020,250968,123056,127912,15071,15719,17595,35821,160529,42054
16,Puente Aranda,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
16,Puente Aranda,Total,2020,250968,123056,127912,15071,15719,17595,35821,160529,42054
17,La Candelaria,Cabecera Municipal,2020,17611,9154,8457,803,845,1049,2016,11932,2982
17,La Candelaria,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
17,La Candelaria,Total,2020,17611,9154,8457,803,845,1049,2016,11932,2982
18,Rafael Uribe Uribe,Cabecera Municipal,2020,380073,187764,192309,31811,30575,32102,67772,235186,50399
18,Rafael Uribe Uribe,Centros Poblados y Rural Disperso,2020,0,0,0,0,0,0,0,0,0
18,Rafael Uribe Uribe,Total,2020,380073,187764,192309,31811,30575,32102,67772,235186,50399
19,Ciudad Bolivar,Cabecera Municipal,2020,631832,311830,320002,63498,58794,60635,129250,384468,64437
19,Ciudad Bolivar,Centros Poblados y Rural Disperso,2020,9474,4695,4779,1224,1197,1005,2439,5104,944
19,Ciudad Bolivar,Total,2020,641306,316525,324781,64722,59991,61640,131689,389572,65381
20,Sumapaz,Cabecera Municipal,2020,0,0,0,0,0,0,0,0,0
20,Sumapaz,Centros Poblados y Rural Disperso,2020,3449,1752,1697,370,366,363,788,1939,411
20,Sumapaz,Total,2020,3449,1752,1697,370,366,363,788,1939,411
01,Usaquén,Cabecera Municipal,2021,570694,262398,308296,36469,34858,35164,76077,356693,107510
01,Usaquén,Centros Poblados y Rural Disperso,2021,574,251,323,44,85,112,205,251,82
01,Usaquén,Total,2021,571268,262649,308619,36513,34943,35276,76282,356944,107592
02,Chapinero,Cabecera Municipal,2021,172339,82465,89874,10989,8411,7780,17891,116439,28720
02,Chapinero,Centros Poblados y Rural Disperso,2021,1014,528,486,112,77,79,174,621,125
02,Chapinero,Total,2021,173353,82993,90360,11101,8488,7859,18065,117060,28845
03,Santa Fe,Cabecera Municipal,2021,106757,52797,53960,8349,7474,7842,16602,69260,13832
03,Santa Fe,Centros Poblados y Rural Disperso,2021,1027,531,496,154,132,126,282,528,87
03,Santa Fe,Total,2021,107784,53328,54456,8503,7606,7968,16884,69788,13919
04,San Cristóbal,Cabecera Municipal,2021,400995,193350,207645,35298,32452,35044,72955,246221,51980
04,San Cristóbal,Centros Poblados y Rural Disperso,2021,65,26,39,8,4,2,6,39,12
04,San Cristóbal,Total,2021,401060,193376,207684,35306,32456,35046,72961,246260,51992
05,Usme,Cabecera Municipal,2021,384002,188869,195133,37708,35539,36149,77526,233060,41546
05,Usme,Centros Poblados y Rural Disperso,2021,9364,4830,4534,1132,971,975,2108,5274,1012
05,Usme,Total,2021,393366,193699,199667,38840,36510,37124,79634,238334,42558
06,Tunjuelito,Cabecera Municipal,2021,180158,88825,91333,15497,13290,13968,29541,112445,24958
06,Tunjuelito,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
06,Tunjuelito,Total,2021,180158,88825,91333,15497,13290,13968,29541,112445,24958
07,Bosa,Cabecera Municipal,2021,722893,351821,371072,62107,64583,66425,141595,449571,80207
07,Bosa,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
07,Bosa,Total,2021,722893,351821,371072,62107,64583,66425,141595,449571,80207
08,Kennedy,Cabecera Municipal,2021,1034838,499553,535285,73067,79787,83360,176523,661701,136923
08,Kennedy,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
08,Kennedy,Total,2021,1034838,499553,535285,73067,79787,83360,176523,661701,136923
09,Fontibón,Cabecera Municipal,2021,393532,184457,209075,25270,25961,28506,58843,255818,57977
09,Fontibón,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
09,Fontibón,Total,2021,393532,184457,209075,25270,25961,28506,58843,255818,57977
10,Engativá,Cabecera Municipal,2021,814100,385375,428725,48439,53626,58110,120567,523369,130556
10,Engativá,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
10,Engativá,Total,2021,814100,385375,428725,48439,53626,58110,120567,523369,130556
11,Suba,Cabecera Municipal,2021,1248874,588195,660679,87874,88081,91527,194646,795547,185845
11,Suba,Centros Poblados y Rural Disperso,2021,3937,2024,1913,406,374,373,802,2334,450
11,Suba,Total,2021,1252811,590219,662592,88280,88455,91900,195448,797881,186295
12,Barrios Unidos,Cabecera Municipal,2021,146876,71269,75607,8991,7859,8624,17783,94792,26610
12,Barrios Unidos,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
12,Barrios Unidos,Total,2021,146876,71269,75607,8991,7859,8624,17783,94792,26610
13,Teusaquillo,Cabecera Municipal,2021,167879,72772,95107,7888,7353,7837,16439,111631,33170
13,Teusaquillo,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
13,Teusaquillo,Total,2021,167879,72772,95107,7888,7353,7837,16439,111631,33170
14,Los Mártires,Cabecera Municipal,2021,83426,36363,47063,5809,5597,5643,12246,55400,10977
14,Los Mártires,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
14,Los Mártires,Total,2021,83426,36363,47063,5809,5597,5643,12246,55400,10977
15,Antonio Nariño,Cabecera Municipal,2021,82201,38419,43782,6334,5167,6030,12045,51181,13489
15,Antonio Nariño,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
15,Antonio Nariño,Total,2021,82201,38419,43782,6334,5167,6030,12045,51181,13489
16,Puente Aranda,Cabecera Municipal,2021,253367,124463,128904,15185,15490,17252,35335,161984,43456
16,Puente Aranda,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
16,Puente Aranda,Total,2021,253367,124463,128904,15185,15490,17252,35335,161984,43456
17,La Candelaria,Cabecera Municipal,2021,17877,9223,8654,791,837,1065,2022,12100,3084
17,La Candelaria,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
17,La Candelaria,Total,2021,17877,9223,8654,791,837,1065,2022,12100,3084
18,Rafael Uribe Uribe,Cabecera Municipal,2021,383960,189226,194734,32480,30374,31678,67006,237138,52290
18,Rafael Uribe Uribe,Centros Poblados y Rural Disperso,2021,0,0,0,0,0,0,0,0,0
18,Rafael Uribe Uribe,Total,2021,383960,189226,194734,32480,30374,31678,67006,237138,52290
19,Ciudad Bolivar,Cabecera Municipal,2021,639892,316772,323120,64543,58820,59639,128398,389325,67565
19,Ciudad Bolivar,Centros Poblados y Rural Disperso,2021,9942,4931,5011,1279,1248,1036,2532,5358,1021
19,Ciudad Bolivar,Total,2021,649834,321703,328131,65822,60068,60675,130930,394683,68586
20,Sumapaz,Cabecera Municipal,2021,0,0,0,0,0,0,0,0,0
20,Sumapaz,Centros Poblados y Rural Disperso,2021,3584,1816,1768,378,375,373,807,2004,454
20,Sumapaz,Total,2021,3584,1816,1768,378,375,373,807,2004,454
01,Usaquén,Cabecera Municipal,2022,578855,266128,312727,36565,35312,34950,76352,358948,113080
01,Usaquén,Centros Poblados y Rural Disperso,2022,592,255,337,46,87,114,209,254,91
01,Usaquén,Total,2022,579447,266383,313064,36611,35399,35064,76561,359202,113171
02,Chapinero,Cabecera Municipal,2022,175418,84230,91188,11408,8779,7746,18255,117065,30420
02,Chapinero,Centros Poblados y Rural Disperso,2022,1053,549,504,118,80,80,179,645,130
02,Chapinero,Total,2022,176471,84779,91692,11526,8859,7826,18434,117710,30550
03,Santa Fe,Cabecera Municipal,2022,106571,52699,53872,8875,7435,7512,16270,68357,14392
03,Santa Fe,Centros Poblados y Rural Disperso,2022,1059,547,512,156,135,130,289,545,93
03,Santa Fe,Total,2022,107630,53246,54384,9031,7570,7642,16559,68902,14485
04,San Cristóbal,Cabecera Municipal,2022,403605,194562,209043,36323,32067,34331,71830,246012,54872
04,San Cristóbal,Centros Poblados y Rural Disperso,2022,69,27,42,9,5,2,7,39,14
04,San Cristóbal,Total,2022,403674,194589,209085,36332,32072,34333,71837,246051,54886
05,Usme,Cabecera Municipal,2022,390861,192966,197895,39300,35342,35776,77017,235782,44661
05,Usme,Centros Poblados y Rural Disperso,2022,9719,5020,4699,1156,1000,999,2163,5466,1098
05,Usme,Total,2022,400580,197986,202594,40456,36342,36775,79180,241248,45759
06,Tunjuelito,Cabecera Municipal,2022,181476,89990,91486,16374,13191,13687,29131,111814,26410
06,Tunjuelito,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
06,Tunjuelito,Total,2022,181476,89990,91486,16374,13191,13687,29131,111814,26410
07,Bosa,Cabecera Municipal,2022,726293,349432,376861,61490,63469,65421,139471,459469,76444
07,Bosa,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
07,Bosa,Total,2022,726293,349432,376861,61490,63469,65421,139471,459469,76444
08,Kennedy,Cabecera Municipal,2022,1034293,500515,533778,67233,78906,81968,174071,661993,144193
08,Kennedy,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
08,Kennedy,Total,2022,1034293,500515,533778,67233,78906,81968,174071,661993,144193
09,Fontibón,Cabecera Municipal,2022,399020,186689,212331,25088,25882,28142,58414,257812,62096
09,Fontibón,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
09,Fontibón,Total,2022,399020,186689,212331,25088,25882,28142,58414,257812,62096
10,Engativá,Cabecera Municipal,2022,815262,386382,428880,45352,53059,56808,118547,523052,136991
10,Engativá,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
10,Engativá,Total,2022,815262,386382,428880,45352,53059,56808,118547,523052,136991
11,Suba,Cabecera Municipal,2022,1269831,598653,671178,85659,89189,90597,194845,805644,198742
11,Suba,Centros Poblados y Rural Disperso,2022,4078,2102,1976,416,387,380,824,2419,476
11,Suba,Total,2022,1273909,600755,673154,86075,89576,90977,195669,808063,199218
12,Barrios Unidos,Cabecera Municipal,2022,150151,73779,76372,9644,7874,8495,17670,96013,28125
12,Barrios Unidos,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
12,Barrios Unidos,Total,2022,150151,73779,76372,9644,7874,8495,17670,96013,28125
13,Teusaquillo,Cabecera Municipal,2022,167657,71468,96189,8107,7322,7565,16143,110377,34286
13,Teusaquillo,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
13,Teusaquillo,Total,2022,167657,71468,96189,8107,7322,7565,16143,110377,34286
14,Los Mártires,Cabecera Municipal,2022,83142,35452,47690,5806,5612,5400,11948,54910,11414
14,Los Mártires,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
14,Los Mártires,Total,2022,83142,35452,47690,5806,5612,5400,11948,54910,11414
15,Antonio Nariño,Cabecera Municipal,2022,82958,38750,44208,7068,5100,5837,11714,50780,14173
15,Antonio Nariño,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
15,Antonio Nariño,Total,2022,82958,38750,44208,7068,5100,5837,11714,50780,14173
16,Puente Aranda,Cabecera Municipal,2022,255123,125963,129160,15220,15360,16998,34864,161630,45915
16,Puente Aranda,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
16,Puente Aranda,Total,2022,255123,125963,129160,15220,15360,16998,34864,161630,45915
17,La Candelaria,Cabecera Municipal,2022,18143,9292,8851,779,829,1081,2028,12268,3186
17,La Candelaria,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
17,La Candelaria,Total,2022,18143,9292,8851,779,829,1081,2028,12268,3186
18,Rafael Uribe Uribe,Cabecera Municipal,2022,386696,190516,196180,33253,29965,30998,65954,237388,55092
18,Rafael Uribe Uribe,Centros Poblados y Rural Disperso,2022,0,0,0,0,0,0,0,0,0
18,Rafael Uribe Uribe,Total,2022,386696,190516,196180,33253,29965,30998,65954,237388,55092
19,Ciudad Bolivar,Cabecera Municipal,2022,645720,320921,324799,65272,58562,58582,127142,391545,71759
19,Ciudad Bolivar,Centros Poblados y Rural Disperso,2022,10295,5113,5182,1310,1287,1061,2602,5539,1098
19,Ciudad Bolivar,Total,2022,656015,326034,329981,66582,59849,59643,129744,397084,72857
20,Sumapaz,Cabecera Municipal,2022,0,0,0,0,0,0,0,0,0
20,Sumapaz,Centros Poblados y Rural Disperso,2022,3713,1875,1838,384,382,381,826,2062,504
