columna,n,n_nulos,n_categorias,dominante,pct_dominante,top_5,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
EMAIL,300,0,241.0,coldiagustinfernan1@educacionbogota.edu.co,1.33,coldiagustinfernan1@educacionbogota.edu.co=4 | cednvohorizonte1@educacionbogota.edu.co=4 | cedanibalfernande4@educacionbogota.edu.co=4 | coldijosefelixrest4@educacionbogota.edu.co=4 | cedtoberin1@educacionbogota.edu.co=3,,,,,,,,,,,,,,,,,,
WEB,181,119,159.0,(nulo),39.67,(nulo)=119 | http://rectoriagustinfernandez.blogspot.com/=4 | https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied=4 | www.redacademica.edu.co/colegios/colegio-jose-felix-restrepo-ied=4 | https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied=3,,,,,,,,,,,,,,,,,,
ENFASIS_PA,20,280,18.0,(nulo),93.33,(nulo)=280 | BACHILLERATO INTERNACIONAL=2 | ARTE Y LENGUAS EXTRANJERAS=2 | CONTABILIDAD Y FINANZAS=2 | CIENCIAS NATURALES - CIENCIAS SOCIALES - ARTE O LENGUAS EXTRANJERAS=1,,,,,,,,,,,,,,,,,,
DISCAPACID,214,86,78.0,(nulo),28.67,(nulo)=86 | -INTELECTUAL-=28 | INTELECTUAL=14 | AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE=12 | AUDITIVA-FISICA-INTELECTUAL-MULTIPLE=8,,,,,,,,,,,,,,,,,,
TALENTOS_O,138,162,56.0,(nulo),54.0,"(nulo)=162 | TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE=14 | TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS=10 | -TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-=9 | CAPACIDADES EXCEPCIONALES-=8",,,,,,,,,,,,,,,,,,
GRUPOS_ETN,169,131,15.0,(nulo),43.67,(nulo)=131 | AFRODESCENDIENTES-INDIGENAS-NEGRITUDES=45 | INDIGENAS=41 | AFRODESCENDIENTES-INDIGENAS=19 | INDIGENAS-NEGRITUDES=19,,,,,,,,,,,,,,,,,,
REGIMEN_Y,179,121,4.0,LIBERTAD REGULADA,44.67,LIBERTAD REGULADA=134 | (nulo)=121 | LIBERTAD VIGILADA=42 | REGIMEN CONTROLADO=3,,,,,,,,,,,,,,,,,,
SECTOR,300,0,,,,,0.0,2.0,1.3933,1.0,1.0,0.4893,1.0,2.0,1.0,1.0,2.0,1.0,0.4389,-1.8195,35.1177,0.0,0.0,False
NATU_JUR,300,0,,,,,0.0,12.0,11.4833,9.0,9.0,3.79,1.0,18.0,17.0,9.0,15.0,6.0,0.0633,-0.4465,33.0045,0.0,0.0,False
ESTADO,300,0,,,,,0.0,2.0,1.0167,1.0,1.0,0.1282,1.0,2.0,1.0,1.0,1.0,0.0,7.589,55.9653,12.6131,5.0,1.67,False
CALENDARIO,300,0,,,,,0.0,4.0,1.2133,1.0,1.0,0.69,1.0,5.0,4.0,1.0,1.0,0.0,3.5053,12.7579,56.8667,30.0,10.0,False
GENERO,300,0,,,,,0.0,3.0,4.8133,5.0,5.0,0.8128,1.0,5.0,4.0,5.0,5.0,0.0,-4.3098,17.1461,16.887,16.0,5.33,False
COD_LOCA,300,0,4.0,01,43.33,01=130 | 04=115 | 03=29 | 02=26,,,,,,,,,,,,,,,,,,
CARACTER_P,300,0,,,,,0.0,4.0,2.2,1.0,1.0,1.4446,1.0,4.0,3.0,1.0,4.0,3.0,0.4101,-1.8081,65.665,0.0,0.0,False
ESPECIALID,300,0,,,,,0.0,7.0,4.14,1.0,1.0,5.1726,1.0,14.0,13.0,1.0,7.5,6.5,1.0981,-0.7387,124.9431,0.0,0.0,False
ESTRATO,300,0,8.0,2,36.33,2=109 | 3=81 | 7=33 | 4=33 | 1=14,,,,,,,,,,,,,,,,,,
CLASE_TIPO,300,0,,,,,0.0,5.0,2.86,4.0,4.0,1.4813,1.0,6.0,5.0,1.0,4.0,3.0,-0.3849,-1.6495,51.7953,0.0,0.0,False
BILINGUE,300,0,,,,,0.0,5.0,4.8867,5.0,5.0,0.543,1.0,5.0,4.0,5.0,5.0,0.0,-5.6287,33.242,11.111,17.0,5.67,False
FECHA,300,0,1.0,2025-12-31,100.0,2025-12-31=300,,,,,,,,,,,,,,,,,,
DANE12_EST,300,0,242.0,111001029955,1.33,111001029955=4 | 111001086681=4 | 111001020443=4 | 111001035530=4 | 111001046957=3,,,,,,,,,,,,,,,,,,
DANE12_SED,300,0,300.0,111001000132,0.33,111001000132=1 | 111001029955=1 | 111848000244=1 | 111848003456=1 | 111001800920=1,,,,,,,,,,,,,,,,,,
ZONA,300,0,,,,,0.0,2.0,1.04,1.0,1.0,0.1963,1.0,2.0,1.0,1.0,1.0,0.0,4.7185,20.4,18.8737,12.0,4.0,False
NOM_UPL,300,0,,,,,0.0,8.0,21.56,23.0,21.0,6.129,5.0,26.0,21.0,21.0,26.0,5.0,-1.9773,2.7312,28.4278,34.0,11.33,False
NOMBRE_UPZ,300,0,,,,,0.0,26.0,63.1933,33.0,11.0,158.3785,1.0,1002.0,1001.0,12.0,51.0,39.0,5.5926,30.659,250.6254,8.0,2.67,False
latitud,13,0,,,,,0.0,13.0,4.6204,4.6121,4.5691,0.0334,4.5691,4.6803,0.1112,4.6022,4.6318,0.0297,0.7382,-0.2545,0.7219,1.0,7.69,False
longitud,13,0,,,,,0.0,13.0,-74.0807,-74.0798,-74.1255,0.0175,-74.1255,-74.0583,0.0672,-74.0847,-74.0708,0.0139,-1.3721,2.8322,-0.0236,1.0,7.69,False
objectid,13,0,,,,,0.0,13.0,7.0,7.0,1.0,3.8944,1.0,13.0,12.0,4.0,10.0,6.0,0.0,-1.2,55.6349,0.0,0.0,False
id_conexio,13,0,13.0,CN001,7.69,CN001=1 | CN002=1 | CN003=1 | CN004=1 | CN005=1,,,,,,,,,,,,,,,,,,
conexion,13,0,13.0,Carrera 10 - Eje Ambiental,7.69,Carrera 10 - Eje Ambiental=1 | Caracas Centro - Americas=1 | Tunal - Caracas Sur=1 | Calle 26 - NQS Central=1 | Calle 80 - NQS Central - Suba=1,,,,,,,,,,,,,,,,,,
esta_oper,13,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
tip_conex,13,0,,,,,0.0,4.0,1.8462,1.0,1.0,1.1435,1.0,4.0,3.0,1.0,2.0,1.0,1.1387,-0.0245,61.942,2.0,15.38,False
eta_oper,13,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
globalid,13,0,13.0,{2357067B-5E7D-452A-B5C6-1BDAE137FD93},7.69,{2357067B-5E7D-452A-B5C6-1BDAE137FD93}=1 | {DEBE4BF8-6EAA-4E5F-B6A8-C3E57085363A}=1 | {61C06661-2820-4F73-B965-EF9744267869}=1 | {78FFE5E6-2F9A-4BDA-A936-FF261010A6F0}=1 | {430B72F8-81F2-476B-AA4D-F74987C4181D}=1,,,,,,,,,,,,,,,,,,
created_user,0,13,1.0,(nulo),100.0,(nulo)=13,,,,,,,,,,,,,,,,,,
created_date,0,13,1.0,(nulo),100.0,(nulo)=13,,,,,,,,,,,,,,,,,,
last_edited_user,0,13,1.0,(nulo),100.0,(nulo)=13,,,,,,,,,,,,,,,,,,
last_edited_date,0,13,1.0,(nulo),100.0,(nulo)=13,,,,,,,,,,,,,,,,,,
ANO,131502,0,,,,,0.0,31.0,2020.0,2020.0,2005.0,8.9443,2005.0,2035.0,30.0,2012.0,2028.0,16.0,0.0,-1.2025,0.4428,0.0,0.0,False
CODIGO_LOCALIDAD,131502,0,,,,,0.0,21.0,10.0,10.0,0.0,6.0553,0.0,20.0,20.0,5.0,15.0,10.0,0.0,-1.2055,60.5532,0.0,0.0,False
NOMBRE_LOCALIDAD,131502,0,21.0,Bogotá,4.76,Bogotá=6262 | Usaquén=6262 | Chapinero=6262 | Santa Fe=6262 | San Cristóbal=6262,,,,,,,,,,,,,,,,,,
SEXO,131502,0,2.0,Hombres,50.0,Hombres=65751 | Mujeres=65751,,,,,,,,,,,,,,,,,,
EDAD,131502,0,,,,,0.0,101.0,50.0,50.0,0.0,29.1549,0.0,100.0,100.0,25.0,75.0,50.0,0.0,-1.2002,58.3097,0.0,0.0,False
CURSODEVIDA,131502,0,6.0,Vejez,40.59,Vejez=53382 | Adultez=40362 | Juventud=14322 | Infancia=7812 | Primera Infancia=7812,,,,,,,,,,,,,,,,,,
GRUPOEDAD,131502,0,5.0,60 o más,40.59,60 o más=53382 | 29 a 59=40362 | 00 a 11=15624 | 18 a 28=14322 | 12 a 17=7812,,,,,,,,,,,,,,,,,,
POBLACION,131502,0,,,,,0.0,14682.0,3547.4036,967.0,1.0,9380.3046,0.0,79199.0,79199.0,248.0,3079.0,2831.0,5.2121,28.3948,264.4273,10327.0,7.85,False
ANO,175956,0,,,,,0.0,31.0,2020.0,2020.0,2005.0,8.9443,2005.0,2035.0,30.0,2012.0,2028.0,16.0,0.0,-1.2025,0.4428,0.0,0.0,False
CODIGO_UPL,175956,0,,,,,0.0,33.0,17.0,17.0,1.0,9.5219,1.0,33.0,32.0,9.0,25.0,16.0,0.0,-1.2022,56.0114,0.0,0.0,False
NOMBRE_UPL,175956,0,33.0,Sumapáz,3.03,Sumapáz=5332 | Cuenca del Tunjuelo=5332 | Arborizadora=5332 | Lucero=5332 | Usme - Entrenubes=5332,,,,,,,,,,,,,,,,,,
SEXO,175956,0,2.0,Hombres,50.0,Hombres=87978 | Mujeres=87978,,,,,,,,,,,,,,,,,,
EDAD,175956,0,,,,,0.0,86.0,42.5,42.5,0.0,24.8245,0.0,85.0,85.0,21.0,64.0,43.0,0.0,-1.2003,58.4105,0.0,0.0,False
ORDEN_MCV,175956,0,,,,,0.0,6.0,4.5465,5.0,5.0,1.4993,1.0,6.0,5.0,4.0,6.0,2.0,-1.0626,0.1164,32.9766,0.0,0.0,False
CURSODEVIDA,175956,0,6.0,Adultez,36.05,Adultez=63426 | Vejez=53196 | Juventud=22506 | Primera Infancia=12276 | Infancia=12276,,,,,,,,,,,,,,,,,,
ORDEN_GRUPO_EDAD,175956,0,,,,,0.0,18.0,9.1047,9.0,1.0,4.9651,1.0,18.0,17.0,5.0,13.0,8.0,0.006,-1.1992,54.5334,0.0,0.0,False
GRUPOEDAD,175956,0,18.0,0 a 4,5.81,0 a 4=10230 | 5 a 9=10230 | 10 a 14=10230 | 15 a 19=10230 | 20 a 24=10230,,,,,,,,,,,,,,,,,,
POBLACION,175956,0,,,,,0.0,4408.0,1325.589,1265.0,22.0,919.7843,0.0,6077.0,6077.0,576.0,1948.0,1372.0,0.4992,-0.2683,69.3868,866.0,0.49,False
OBJECTID,16,0,,,,,0.0,16.0,8.5,8.5,1.0,4.761,1.0,16.0,15.0,4.75,12.25,7.5,0.0,-1.2,56.0112,0.0,0.0,False
RefName,16,0,16.0,Portal de las Américas-02,6.25,Portal de las Américas-02=1 | Carrera 80-03=1 | Calle 42 Sur-04=1 | Kennedy-05=1 | Av Boyaca-06=1,,,,,,,,,,,,,,,,,,
NUMERO,16,0,16.0,02,6.25,02=1 | 03=1 | 04=1 | 05=1 | 06=1,,,,,,,,,,,,,,,,,,
NOMBRE,16,0,16.0,E02,6.25,E02=1 | E03=1 | E04=1 | E05=1 | E06=1,,,,,,,,,,,,,,,,,,
Shape_Leng,16,0,,,,,0.0,16.0,334.0874,334.4,320.3998,11.5275,320.3998,356.2003,35.8005,323.3999,344.1986,20.7988,0.2809,-0.9702,3.4504,0.0,0.0,False
Shape_Area,16,0,,,,,0.0,16.0,2808.0636,2580.0043,2203.9891,601.8685,2203.9891,4215.0112,2011.0221,2421.501,3314.9833,893.4823,1.0296,0.3365,21.4336,0.0,0.0,False
TIPO,16,0,1.0,No Definida,100.0,No Definida=16,,,,,,,,,,,,,,,,,,
OBJECTID,11,0,,,,,0.0,11.0,6.0,6.0,1.0,3.3166,1.0,11.0,10.0,3.5,8.5,5.0,0.0,-1.2,55.2771,0.0,0.0,False
NUMERO,11,0,11.0,01,9.09,01=1 | 02=1 | 03=1 | 04=1 | 05=1,,,,,,,,,,,,,,,,,,
NOMBRE,11,0,11.0,ESTACIÓN 1,9.09,ESTACIÓN 1=1 | ESTACIÓN 2=1 | ESTACIÓN 3=1 | ESTACIÓN 4=1 | ESTACIÓN 5=1,,,,,,,,,,,,,,,,,,
TIPO,11,0,1.0,No Definida,100.0,No Definida=11,,,,,,,,,,,,,,,,,,
SHAPE_Length,11,0,,,,,0.0,11.0,0.0034,0.0034,0.0034,0.0,0.0034,0.0034,0.0,0.0034,0.0034,0.0,-1.1902,4.6796,0.1726,2.0,18.18,False
SHAPE_Area,11,0,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8223,6.6496,1.2766,2.0,18.18,False
objectid,153,0,,,,,0.0,153.0,77.0196,77.0,1.0,44.345,1.0,154.0,153.0,39.0,115.0,76.0,0.0026,-1.1965,57.5763,0.0,0.0,False
numero_estacion,153,0,153.0,10000,0.65,10000=1 | 03000=1 | 06000=1 | 04000=1 | 05000=1,,,,,,,,,,,,,,,,,,
nombre_estacion,153,0,152.0,Temporal AV. Jiménez - Inter Eléctricas,1.31,Temporal AV. Jiménez - Inter Eléctricas=2 | Portal 20 de Julio=1 | Portal Suba=1 | Portal El Dorado – C.C. NUESTRO BOGOTÁ=1 | Portal 80=1,,,,,,,,,,,,,,,,,,
coordenada_x_estacion,153,0,,,,,0.0,153.0,997850.1223,998750.933,985736.3314,4082.7328,985736.3314,1003765.0206,18028.6892,995908.7432,1000706.4471,4797.7039,-1.1476,1.0033,0.4092,8.0,5.23,False
coordenada_y_estacion,153,0,,,,,0.0,153.0,1004820.3865,1003703.0582,992869.2056,5795.5516,992869.2056,1019088.4638,26219.2582,1000129.4773,1009046.2255,8916.7482,0.4887,-0.5982,0.5768,0.0,0.0,False
ubicacion_estacion,153,0,152.0,KR 4,1.31,KR 4=2 | Kra 5 a Cl 33 Sur=1 | Av Suba Av C. Cali=1 | KR 87=1 | KR 96=1,,,,,,,,,,,,,,,,,,
troncal_estacion,153,0,13.0,Caracas,18.3,Caracas=28 | NQS=23 | Americas=18 | Autonorte=17 | Suba=14,,,,,,,,,,,,,,,,,,
numero_vagones_estacion,153,0,,,,,0.0,5.0,2.1961,2.0,2.0,0.7169,1.0,5.0,4.0,2.0,3.0,1.0,0.7761,1.5031,32.6441,1.0,0.65,False
numero_accesos_estacion,153,0,,,,,0.0,3.0,1.3333,1.0,1.0,0.5849,0.0,2.0,2.0,1.0,2.0,1.0,-0.2221,-0.6431,43.8673,0.0,0.0,False
biciestacion_estacion,153,0,2.0,0,89.54,0=137 | 1=16,,,,,,,,,,,,,,,,,,
capacidad_biciestacion_estacion,153,0,,,,,0.0,14.0,24.5621,0.0,0.0,103.3474,0.0,785.0,785.0,0.0,0.0,0.0,5.4007,31.5422,420.7597,16.0,10.46,False
tipo_estacion,153,0,,,,,0.0,4.0,3.6536,4.0,4.0,0.8454,1.0,4.0,3.0,4.0,4.0,0.0,-2.3138,3.9593,23.1395,25.0,16.34,False
biciparqueadero_estacion,153,0,,,,,0.0,2.0,0.1046,0.0,0.0,0.307,0.0,1.0,1.0,0.0,0.0,0.0,2.6101,4.8761,293.5785,16.0,10.46,False
latitud_estacion,153,0,,,,,0.0,153.0,4.6398,4.6297,4.5317,0.0524,4.5317,4.7688,0.2371,4.5974,4.678,0.0806,0.4886,-0.5982,1.1296,0.0,0.0,False
longitud_estacion,153,0,,,,,0.0,153.0,-74.0969,-74.0888,-74.2061,0.0368,-74.2061,-74.0436,0.1625,-74.1144,-74.0711,0.0432,-1.1475,1.0031,-0.0497,8.0,5.23,False
codigo_nodo_estacion,153,0,,,,,0.0,153.0,6706.6732,7005.0,2000.0,3060.6315,2000.0,14005.0,12005.0,4103.0,9107.0,5004.0,0.2715,-0.5675,45.6356,0.0,0.0,False
componente_wifi,109,44,5.0,Valor SI al campo,60.78,Valor SI al campo=93 | (nulo)=44 | Valor NO al campo=9 | PENDIENTE=4 | NO=3,,,,,,,,,,,,,,,,,,
componente_aplificacion,20,133,4.0,(nulo),86.93,(nulo)=133 | Valor SI al campo=12 | Valor NO al campo=5 | NO=3,,,,,,,,,,,,,,,,,,
globalid,153,0,153.0,{B78C011F-6DE5-44A3-A7CA-3A399CB5B6C2},0.65,{B78C011F-6DE5-44A3-A7CA-3A399CB5B6C2}=1 | {BD590104-0BBB-459F-B755-35AB19174FA0}=1 | {C0133415-310E-46CF-B5A9-666EA6E61807}=1 | {C034C342-CDED-440B-8018-ACD556FFB217}=1 | {42C4A5F7-4BB2-43F1-9F34-3DD9E16D232C}=1,,,,,,,,,,,,,,,,,,
created_user,4,149,3.0,(nulo),97.39,(nulo)=149 | EESTACION=3 | editorTroncal=1,,,,,,,,,,,,,,,,,,
created_date,4,149,,,,,97.39,4.0,1764802872500.0,1776269297500.0,1730402938000.0,22933289670.1394,1730402938000.0,1776269957000.0,45867019000.0,1764802477750.0,1776269692250.0,11467214500.0,-2.0,4.0,1.2995,1.0,25.0,False
last_edited_user,153,0,2.0,editorTroncal,97.39,editorTroncal=149 | EESTACION=4,,,,,,,,,,,,,,,,,,
last_edited_date,153,0,,,,,0.0,82.0,1729544626562.0916,1722866256000.0,1779981168000.0,16037092124.9182,1722866215000.0,1779981168000.0,57114953000.0,1722866234000.0,1722866276000.0,42000.0,2.2951,3.8532,0.9272,27.0,17.65,False
log_replica,0,153,1.0,(nulo),100.0,(nulo)=153,,,,,,,,,,,,,,,,,,
id_trazado_troncal,153,0,17.0,TZ009,11.11,TZ009=17 | TZ002=17 | TZ003=14 | TZ016=14 | TZ001=14,,,,,,,,,,,,,,,,,,
OBJECTID,104550,0,,,,,0.0,104550.0,52275.5,52275.5,1.0,30181.1297,1.0,104550.0,104549.0,26138.25,78412.75,52274.5,0.0,-1.2,57.7348,0.0,0.0,False
ESTADO_SUPERFICIAL,104550,0,,,,,0.0,9.0,2.17,2.0,2.0,1.4058,1.0,13.0,12.0,1.0,2.0,1.0,2.1575,4.6134,64.7834,11590.0,11.09,False
FECHA_ESTADO,104550,0,1.0,2025/12/31 00:00:00,100.0,2025/12/31 00:00:00=104550,,,,,,,,,,,,,,,,,,
CalCodigo,104550,0,,,,,0.0,104550.0,16536888.8719,359605.5,8501.0,34130434.2905,8501.0,92088248.0,92079747.0,173848.25,530143.5,356295.25,1.6988,0.9359,206.3897,21113.0,20.19,False
zona,10518,0,37.0,Usaquén,10.63,Usaquén=1118 | Bosa=1115 | Kennedy=759 | Engativá=676 | Ciudad Bolívar=578,,,,,,,,,,,,,,,,,,
fase,10518,0,5.0,Fase III,52.66,Fase III=5539 | Fase V=1829 | FASE III=1457 | FASE IV=1440 | FASE V=253,,,,,,,,,,,,,,,,,,
componente,10518,0,3.0,Zonal,70.05,Zonal=7368 | TRONCAL=2202 | ALIMENTACIÓN=948,,,,,,,,,,,,,,,,,,
estatus_vinculacion,10518,0,2.0,Referente,94.53,Referente=9943 | Reserva=575,,,,,,,,,,,,,,,,,,
combustible,10518,0,6.0,DIESEL,62.3,DIESEL=6553 | GNV=2143 | ELECTRICO=1129 | ELÉCTRICO=357 | HIBRIDO (DIESEL - ELÉCTRICO)=280,,,,,,,,,,,,,,,,,,
modelo,10518,0,,,,,0.0,16.0,2017.278,2016.0,2014.0,3.6988,2007.0,2023.0,16.0,2014.0,2021.0,7.0,-0.0621,-1.4307,0.1834,0.0,0.0,False
codigo_bus,10518,0,10518.0,E001,0.01,E001=1 | E002=1 | E003=1 | E004=1 | E041=1,,,,,,,,,,,,,,,,,,
fecha_vinculacion,10518,0,1052.0,5/06/2019,3.18,5/06/2019=334 | 9/08/2022=229 | 8/09/2022=186 | 14/09/2019=185 | 29/12/2020=158,,,,,,,,,,,,,,,,,,
accesible,10518,0,4.0,CON ELEVADOR,42.41,CON ELEVADOR=4461 | NO ACCESIBLE=3108 | PLATAFORMA ALTA=1929 | ENTRADA BAJA=1020,,,,,,,,,,,,,,,,,,
edad,10202,316,,,,,3.0,13.0,6.2439,5.0,10.0,3.4607,0.0,12.0,12.0,3.0,10.0,7.0,0.1645,-1.5844,55.4254,0.0,0.0,False
matricula,10518,0,10518.0,TGW242,0.01,TGW242=1 | TGW243=1 | TGW244=1 | TGW246=1 | TGW247=1,,,,,,,,,,,,,,,,,,
descripcion_estado_vinculacion,10518,0,1.0,Vinculado,100.0,Vinculado=10518,,,,,,,,,,,,,,,,,,
descripcion_nivel_emision,10518,0,8.0,EURO V,39.67,EURO V=4173 | EURO VI=2381 | CERO EMISIONES=1486 | EURO IV=1071 | EURO V-CON FILTRO=700,,,,,,,,,,,,,,,,,,
descripcion_tipo,10518,0,8.0,BUS (50),33.0,BUS (50)=3471 | BUS (80)=3291 | BIARTICULADO=1319 | ALIMENTADOR (80)=862 | ARTICULADO=610,,,,,,,,,,,,,,,,,,
agency_id,7,0,,,,,0.0,7.0,4.0,4.0,1.0,2.1602,1.0,7.0,6.0,2.5,5.5,3.0,0.0,-1.2,54.0062,0.0,0.0,False
agency_name,7,0,7.0,Transmilenio-Troncal,14.29,Transmilenio-Troncal=1 | Transmilenio-Alimentadores=1 | Transmilenio-Dual=1 | Zonal-Urbano=1 | Zonal-Complementario=1,,,,,,,,,,,,,,,,,,
agency_url,7,0,5.0,http://www.sitp.gov.co,42.86,http://www.sitp.gov.co=3 | https://www.sitp.gov.co/publicaciones/40083/urbano/=1 | https://www.sitp.gov.co/publicaciones/40085/complementario/=1 | https://www.sitp.gov.co/publicaciones/40087/especial/=1 | https://www.transmilenio.gov.co/TransMiCable/=1,,,,,,,,,,,,,,,,,,
agency_timezone,7,0,1.0,America/Bogota,100.0,America/Bogota=7,,,,,,,,,,,,,,,,,,
agency_lang,7,0,1.0,es,100.0,es=7,,,,,,,,,,,,,,,,,,
agency_phone,7,0,,,,,0.0,1.0,18000115510.0,18000115510.0,18000115510.0,0.0,18000115510.0,18000115510.0,0.0,18000115510.0,18000115510.0,0.0,0.0,0.0,0.0,0.0,0.0,False
agency_fare_url,7,0,1.0,https://www.sitp.gov.co/publicaciones/40710/tarifas/,100.0,https://www.sitp.gov.co/publicaciones/40710/tarifas/=7,,,,,,,,,,,,,,,,,,
service_id,7,0,,,,,0.0,7.0,4.0,4.0,1.0,2.1602,1.0,7.0,6.0,2.5,5.5,3.0,0.0,-1.2,54.0062,0.0,0.0,False
monday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
tuesday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
wednesday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
thursday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
friday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
saturday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
sunday,7,0,,,,,0.0,2.0,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0.0,0.0,False
start_date,7,0,,,,,0.0,1.0,20260101.0,20260101.0,20260101.0,0.0,20260101.0,20260101.0,0.0,20260101.0,20260101.0,0.0,0.0,0.0,0.0,0.0,0.0,False
end_date,7,0,,,,,0.0,1.0,20261231.0,20261231.0,20261231.0,0.0,20261231.0,20261231.0,0.0,20261231.0,20261231.0,0.0,0.0,0.0,0.0,0.0,0.0,False
service_id,126,0,,,,,0.0,7.0,4.0,4.0,1.0,2.008,1.0,7.0,6.0,2.0,6.0,4.0,0.0,-1.2519,50.1996,0.0,0.0,False
date,126,0,,,,,0.0,18.0,20260678.8333,20260622.0,20260101.0,342.9538,20260101.0,20261225.0,1124.0,20260403.0,20261012.0,609.0,0.0556,-0.9793,0.0017,0.0,0.0,False
exception_type,126,0,,,,,0.0,2.0,1.8571,2.0,2.0,0.3513,1.0,2.0,1.0,2.0,2.0,0.0,-2.0659,2.3043,18.9174,18.0,14.29,False
fare_id,1,0,,,,,0.0,1.0,7.0,7.0,7.0,,7.0,7.0,0.0,7.0,7.0,0.0,,,,0.0,0.0,False
