codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,poblacion_hombres,poblacion_mujeres,poblacion_0_5,poblacion_6_11,poblacion_12_17,poblacion_5_17_anos,poblacion_18_59,poblacion_60_mas_anos,total_estaciones_troncales,total_paraderos_sitp,total_parques_idrd,total_camas_hospitalarias,camas_por_10000_habitantes,camas_uci_adultos,medicos_generales_por_1000_hab,vigencia,fuente,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,proyectos_inversion_activos,presupuesto_social_sdis_millones,beneficiarios_transferencias_monetarias,comedores_comunitarios_activos,centros_cuidado_primera_infancia,total_votantes_pp,propuestas_ciudadanas_radicadas,propuestas_priorizadas_aprobadas,inversion_presupuesto_participativo_millones,eje_tematico_principal,localidad,atenciones_totales_sdis,beneficiarios_unicos_total_sdis,beneficiarios_transferencias_monetarias_img,atenciones_transferencias_img,beneficiarios_comedores_comunitarios,atenciones_comisarias_familia,beneficiarios_vejez_sdis,beneficiarios_infancia_sdis,atenciones_habitante_calle_sdis,beneficiarios_discapacidad_sdis,beneficiarios_victimas_sdis,beneficiarios_migrantes_sdis,cobertura_acueducto_pct,cobertura_alcantarillado_pct,consumo_promedio_m3_suscriptor,horas_interrupcion_promedio_mes,prestador_principal,irca_promedio,clasificacion_riesgo_irca,muestras_analizadas,total_luminarias,tecnologia_led_pct,fallas_reportadas_mes,tiempo_medio_reparacion_horas,penetracion_internet_fijo_pct,velocidad_promedio_bajada_mbps,zonas_wifi_publicas,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,tema_frecuente_1,tema_frecuente_2,tema_frecuente_3,homicidios_anual,hurto_a_personas_anual,hurto_a_comercio_anual,tasa_delitos_alto_impacto_por_100k_hab,tiempo_medio_respuesta_cuadrante_min,ocupados_trabajan_en_su_localidad_pct,ocupados_conmutan_a_otras_localidades_pct,conmutacion_hacia_centro_ampliado_pct,tiempo_promedio_desplazamiento_laboral_min,modo_transporte_principal_trabajo,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,poblacion_en_edad_trabajar_estimada,inversion_educacion_asignada_cop,inversion_educacion_ejecutada_cop,inversion_educacion_girada_cop,densidad_poblacional,camas_por_10k_hab_calc,paraderos_por_10k_hab,parques_por_10k_hab,luminarias_por_km2,luminarias_por_10k_hab,tasa_beneficiarios_transferencias_pct,tasa_transferencias_img_por_10k_hab,comedores_por_10k_hab,tasa_atenciones_sdis_por_10k_hab,tasa_comisarias_por_10k_hab,tasa_votantes_pp_por_10k_hab,propuestas_ciudadanas_por_10k_hab,inversion_pp_per_capita_cop,inversion_fdl_per_capita_millones,inversion_fdl_per_capita_cop,inversion_social_sdis_per_capita_cop,inversion_educacion_per_capita_cop,inversion_educacion_ejecutada_millones,inversion_total_consolidada_per_capita_cop,tasa_homicidios_por_100k_hab_calc,pqr_por_10k_hab
11,SUBA,1100111,100.56,1332958,629285,703673,76965,90195,91605,193609,837814,236379,13,844,12,1340,15.4,241,2.31,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,289.4,2.2,18.2,65.0,168700,161400,95.67,52,46250.0,1,3,14,12500,134,32,13456.0,Seguridad y cultura,SUBA,100911,1,1,70747,1,9166,1,1,133,1,1,1,99.8,99.6,13.9,0.4,EAAB - ESP,0.85,Sin Riesgo (Apta),120,48900,98.6,586,36.5,86.2,120.5,8,19800,87.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,74,11400,710,59.8,14.2,36.4,63.6,38.5,58.0,A pie / Auto / SITP,2850000,31.2,8.9,513000,472630343888.0,453423488761.0,430001091867.0,13255.350039777248,10.052829871608857,6.331782396744684,0.09002534213381068,486.28,366.85,0.0,530.75,0.01,757.05,68.76,93.78,1.01,10095.0,0.12108408516997535,121084.0,34697.0,340163.0,453423.49,506039.0,5.551562764918325,148.5418145207876
12,BARRIOS UNIDOS,1100112,11.9,159163,79870,79293,12050,8183,8261,18112,99839,30830,13,234,10,1240,48.5,223,7.27,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,284.2,2.3,18.2,65.0,64500,62100,96.28,20,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,BARRIOS UNIDOS,10572,1,1,3966,1,1422,1,1,114,1,1,1,99.9,99.8,13.4,0.2,EAAB - ESP,0.85,Sin Riesgo (Apta),120,19800,99.2,237,36.5,84.5,120.5,8,6420,92.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,16,3820,290,49.5,22.0,46.2,53.8,24.1,36.0,A pie / Auto / SITP,2650000,28.5,8.2,477000,84784335428.33,79086186962.33,72953636358.33,13375.042016806723,77.90755389129383,14.70190936335706,0.628286724929789,1663.87,1244.01,0.0,249.18,0.06,664.22,89.34,201.05,2.07,21136.0,0.39016605618139893,390166.0,75551.0,496888.0,79086.19,983741.0,10.052587598876624,403.36007740492454
13,TEUSAQUILLO,1100113,14.19,164384,66645,97739,9264,7322,7027,16087,105772,34999,13,271,4,1650,62.4,297,9.36,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,304.5,1.5,18.2,65.0,61200,59100,96.57,19,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,TEUSAQUILLO,3980,1,1,706,1,725,1,1,166,1,1,1,99.9,99.8,13.6,0.1,EAAB - ESP,0.45,Sin Riesgo (Apta),120,23400,99.3,280,36.5,91.8,120.5,8,6120,94.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,9,3450,260,44.1,8.5,54.8,45.2,14.2,30.0,A pie / Auto / SITP,3850000,20.4,7.1,693000,21488226342.0,20586754911.0,18867474771.0,11584.496124031008,100.37473233404711,16.485789371228343,0.24333268444617484,1649.05,1423.5,0.0,42.95,0.06,242.12,44.1,194.67,2.01,20464.0,0.35952404126922327,359524.0,73152.0,125236.0,20586.75,578376.0,5.474985400038934,372.2990072026475
14,LOS MARTIRES,1100114,6.51,82827,33146,49681,6581,5659,5056,12240,54118,11413,9,167,4,980,52.1,176,7.81,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,255.4,3.6,24.5,65.0,56800,53900,94.89,17,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,LOS MARTIRES,24810,1,1,5686,1,4566,1,1,5464,1,1,1,99.8,99.5,12.8,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,15200,97.8,182,36.5,63.4,65.0,14,4950,81.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,48,4820,410,94.2,22.0,42.1,57.9,22.0,38.0,A pie / Auto / SITP,1780000,51.2,12.1,320400,72218696371.0,67206913688.0,61750027674.0,12723.041474654377,118.31890567085613,20.162507394931605,0.4829343088606372,2334.87,1835.15,0.0,686.49,0.12,2995.4,551.27,386.35,3.98,40615.0,0.6507539811897086,650754.0,145182.0,811413.0,67206.91,1647964.0,57.95211706327647,597.6312072150386
15,ANTONIO NARINO,1100115,6.59,86119,39523,46596,10307,4955,5505,11638,50600,14752,5,92,3,640,28.5,115,4.27,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,268.2,2.9,18.2,65.0,58900,56400,95.76,18,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,ANTONIO NARIÑO,10314,1,1,4253,1,1582,1,1,518,1,1,1,99.9,99.7,12.6,0.2,EAAB - ESP,0.85,Sin Riesgo (Apta),120,16100,98.5,193,36.5,72.1,65.0,8,5120,85.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,22,2890,210,54.2,22.0,28.4,71.6,41.2,45.0,A pie / Auto / SITP,2050000,41.5,9.8,369000,59786774960.0,56608962217.0,53154394729.0,13068.133535660092,74.31577236149978,10.682892276965594,0.3483551829445303,2443.1,1869.51,0.0,493.85,0.12,1197.65,183.7,371.58,3.83,39062.0,0.6549077439357168,654908.0,139632.0,657334.0,56608.96,1490936.0,25.546046749265553,594.5261788919983
16,PUENTE ARANDA,1100116,17.31,259314,129016,130298,15980,14707,16112,33278,161107,51408,15,377,6,520,18.4,93,2.76,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,272.5,2.7,18.2,65.0,82400,79200,96.12,25,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,PUENTE ARANDA,19086,1,1,7633,1,2172,1,1,2664,1,1,1,99.9,99.8,13.2,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,27800,98.9,333,36.5,76.5,65.0,8,7450,88.9,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,28,4780,360,52.8,22.0,45.6,54.4,26.8,38.0,A pie / Auto / SITP,2350000,33.8,8.9,423000,141089530958.0,131778457284.0,121701488837.0,14980.589254766031,20.052908828678746,14.53835890079209,0.2313797172539855,1606.01,1072.06,0.0,294.35,0.04,736.02,83.76,123.4,1.27,12973.0,0.3054212267752609,305421.0,46372.0,508181.0,131778.46,872947.0,10.797720138519324,287.29648225703204
17,LA CANDELARIA,1100117,2.06,18941,9499,9442,743,805,1129,2046,12772,3492,1,37,2,120,25.0,21,3.75,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,269.4,2.8,18.2,65.0,38500,36800,95.58,12,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,LA CANDELARIA,15064,1,1,1315,1,699,1,1,349,1,1,1,99.9,99.7,12.1,0.2,EAAB - ESP,0.85,Sin Riesgo (Apta),120,6200,99.0,74,36.5,74.2,65.0,8,2150,89.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,8,1890,190,76.4,22.0,49.1,50.9,16.0,32.0,A pie / Auto / SITP,2100000,44.2,10.5,378000,18057308307.57,16795739772.57,15483352078.57,9194.660194174758,63.35462752758566,19.534343487672245,1.0559104587930943,3009.71,3273.32,0.01,694.26,0.53,7953.12,369.04,1689.46,17.42,177604.0,1.9428752441792936,1942875.0,634866.0,886740.0,16795.74,3642085.0,42.23641835172378,1135.1037432025764
18,RAFAEL URIBE URIBE,1100118,33.28,393869,193062,200807,34464,29747,29720,65007,238062,61876,7,302,9,340,9.8,61,1.47,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,246.8,4.5,24.5,42.5,108600,102400,94.29,33,27750.0,1,8,6,7500,79,19,7989.5,Malla vial y espacio público,RAFAEL URIBE URIBE,70030,1,1,48347,1,4006,1,1,201,1,1,1,99.3,98.7,11.4,0.9,EAAB - ESP,0.85,Sin Riesgo (Apta),120,25400,96.9,304,36.5,54.1,65.0,14,9850,77.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,78,5120,310,66.5,22.0,19.4,80.6,54.8,65.0,SITP / TransMilenio,1490000,56.4,13.8,268200,344337462405.71,327172557632.71,308136951319.71,11835.006009615385,8.632311758478073,7.667523973706994,0.22850237007736077,763.22,644.88,0.0,1227.49,0.03,1778.0,101.71,190.42,2.01,20285.0,0.2599849188435749,259985.0,70455.0,830663.0,327172.56,1181388.0,19.803538740037933,250.08314947355595
19,CIUDAD BOLIVAR,1100119,130.0,671670,336103,335567,65501,60184,58208,129435,404133,83644,2,593,14,410,7.2,73,1.08,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,239.5,5.2,24.5,42.5,164200,154800,94.28,51,46250.0,1,8,14,12500,134,32,13456.0,Malla vial y espacio público,CIUDAD BOLIVAR,152623,1,1,110521,1,8708,1,1,131,1,1,1,97.8,95.1,10.8,1.8,EAAB - ESP,2.1,Sin Riesgo (Apta),120,31200,94.8,374,58.0,44.8,25.0,14,16400,74.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,182,7950,480,82.1,22.0,15.1,84.9,64.2,85.0,SITP / TransMilenio,1340000,62.1,15.2,241200,586943975585.0,561512176926.0,528765349730.0,5166.692307692308,6.104188068545565,8.828740304018343,0.20843569014545832,240.0,464.51,0.0,1645.47,0.01,2272.29,129.65,186.1,2.0,20034.0,0.23047032024654965,230470.0,68858.0,835994.0,561512.18,1155356.0,27.096639718909582,244.16752274182264
20,SUMAPAZ,1100120,780.96,4021,2018,2003,392,395,400,862,2228,606,0,0,0,12,3.5,2,0.53,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,244.2,4.1,24.5,65.0,68500,63200,92.26,21,12025.0,1,3,6,3200,33,8,3364.0,Seguridad y cultura,SUMAPAZ,2024,1,1,579,1,144,1,1,0,1,1,1,82.4,68.5,9.2,4.5,Acueductos Comunitarios / Veredales,6.8,Riesgo Bajo,45,2800,88.5,33,58.0,18.2,25.0,5,680,82.0,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2,45,8,4.2,22.0,68.5,31.5,18.2,110.0,A pie / Auto / SITP,1280000,65.4,9.2,230400,15336193785.0,17719625905.0,14998153437.0,5.148791231305061,29.843322556577967,0.0,0.0,3.59,6963.44,0.02,1439.94,2.49,5033.57,358.12,7958.22,82.07,836608.0,15.717483213131063,15717483.0,2990550.0,4406771.0,17719.63,23951412.0,49.73887092762995,1691.1216115394182
