codigo_localidad,nombre_localidad,codigo_divipola,area_km2,poblacion,total_camas_hospitalarias,camas_por_10000_habitantes,camas_uci_adultos,medicos_generales_por_1000_hab,vigencia,fuente,puntaje_promedio_saber_11,tasa_desercion_escolar_pct,relacion_estudiantes_por_docente,colegios_jornada_unica_pct,presupuesto_aprobado_millones,presupuesto_ejecutado_millones,porcentaje_ejecucion_fdl,proyectos_inversion_activos,cobertura_acueducto_pct,cobertura_alcantarillado_pct,consumo_promedio_m3_suscriptor,horas_interrupcion_promedio_mes,prestador_principal,irca_promedio,clasificacion_riesgo_irca,muestras_analizadas,total_luminarias,tecnologia_led_pct,fallas_reportadas_mes,tiempo_medio_reparacion_horas,total_pqr_recibidas,pqr_resueltas_a_tiempo_pct,tema_frecuente_1,tema_frecuente_2,tema_frecuente_3,homicidios_anual,hurto_a_personas_anual,hurto_a_comercio_anual,tasa_delitos_alto_impacto_por_100k_hab,tiempo_medio_respuesta_cuadrante_min,ocupados_trabajan_en_su_localidad_pct,ocupados_conmutan_a_otras_localidades_pct,conmutacion_hacia_centro_ampliado_pct,tiempo_promedio_desplazamiento_laboral_min,modo_transporte_principal_trabajo,ingreso_laboral_promedio_ocupados_cop,tasa_informalidad_laboral_pct,tasa_desempleo_pct,poblacion_en_edad_trabajar_estimada,densidad_poblacional,camas_por_10k_hab_calc,inversion_fdl_per_capita_millones,pqr_por_10k_hab
11,SUBA,1100111,100.56,1232535,1340,15.4,241,2.31,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,289.4,2.2,18.2,65.0,168700,161400,95.67,52,99.8,99.6,13.9,0.4,EAAB - ESP,0.85,Sin Riesgo (Apta),120,48900,98.6,586,36.5,19800,87.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,74,11400,710,59.8,14.2,36.4,63.6,38.5,58.0,A pie / Auto / SITP,2850000,31.2,8.9,513000,12256.712410501194,10.871902217786918,0.13094962820528422,160.64452530759777
12,BARRIOS UNIDOS,1100112,11.9,125963,1240,48.5,223,7.27,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,284.2,2.3,18.2,65.0,64500,62100,96.28,20,99.9,99.8,13.4,0.2,EAAB - ESP,0.85,Sin Riesgo (Apta),120,19800,99.2,237,36.5,6420,92.1,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,16,3820,290,49.5,22.0,46.2,53.8,24.1,36.0,A pie / Auto / SITP,2650000,28.5,8.2,477000,10585.126050420167,98.44160586838991,0.49300191326024306,509.67347554440585
13,TEUSAQUILLO,1100113,14.19,145356,1650,62.4,297,9.36,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,304.5,1.5,18.2,65.0,61200,59100,96.57,19,99.9,99.8,13.6,0.1,EAAB - ESP,0.45,Sin Riesgo (Apta),120,23400,99.3,280,36.5,6120,94.2,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,9,3450,260,44.1,8.5,54.8,45.2,14.2,30.0,A pie / Auto / SITP,3850000,20.4,7.1,693000,10243.551797040169,113.51440601007182,0.40658796334516634,421.03525138281185
14,LOS MARTIRES,1100114,6.51,73251,980,52.1,176,7.81,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,255.4,3.6,24.5,65.0,56800,53900,94.89,17,99.8,99.5,12.8,0.3,EAAB - ESP,0.85,Sin Riesgo (Apta),120,15200,97.8,182,36.5,4950,81.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,48,4820,410,94.2,22.0,42.1,57.9,22.0,38.0,A pie / Auto / SITP,1780000,51.2,12.1,320400,11252.073732718894,133.78656946662844,0.7358261320664564,675.7586927140927
15,ANTONIO NARINO,1100115,6.59,69825,640,28.5,115,4.27,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,268.2,2.9,18.2,65.0,58900,56400,95.76,18,99.9,99.7,12.6,0.2,EAAB - ESP,0.85,Sin Riesgo (Apta),120,16100,98.5,193,36.5,5120,85.4,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,22,2890,210,54.2,22.0,28.4,71.6,41.2,45.0,A pie / Auto / SITP,2050000,41.5,9.8,369000,10595.599393019727,91.6577157178661,0.807733619763695,733.2617257429288
16,PUENTE ARANDA,1100116,17.31,238779,520,18.4,93,2.76,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,272.5,2.7,18.2,65.0,82400,79200,96.12,25,99.9,99.8,13.2,0.2,EAAB - ESP,0.45,Sin Riesgo (Apta),120,27800,98.9,333,36.5,7450,88.9,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,28,4780,360,52.8,22.0,45.6,54.4,26.8,38.0,A pie / Auto / SITP,2350000,33.8,8.9,423000,13794.280762564993,21.777459491831358,0.33168745995250837,312.0039869502762
17,LA CANDELARIA,1100117,2.06,15048,120,25.0,21,3.75,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,269.4,2.8,18.2,65.0,38500,36800,95.58,12,99.9,99.7,12.1,0.2,EAAB - ESP,0.85,Sin Riesgo (Apta),120,6200,99.0,74,36.5,2150,89.5,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,8,1890,190,76.4,22.0,49.1,50.9,16.0,32.0,A pie / Auto / SITP,2100000,44.2,10.5,378000,7304.854368932039,79.74481658692184,2.445507708665603,1428.7612971823498
18,RAFAEL URIBE URIBE,1100118,33.28,357395,340,9.8,61,1.47,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,246.8,4.5,24.5,42.5,108600,102400,94.29,33,99.3,98.7,11.4,0.9,EAAB - ESP,0.85,Sin Riesgo (Apta),120,25400,96.9,304,36.5,9850,77.8,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,78,5120,310,66.5,22.0,19.4,80.6,54.8,65.0,SITP / TransMilenio,1490000,56.4,13.8,268200,10739.032451923076,9.513283621763035,0.28651771849074553,275.6054225716644
19,CIUDAD BOLIVAR,1100119,130.0,724113,410,7.2,73,1.08,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,239.5,5.2,24.5,42.5,164200,154800,94.28,51,97.8,95.1,10.8,1.8,EAAB - ESP,2.1,Sin Riesgo (Apta),120,31200,94.8,374,58.0,16400,74.5,Malla vial y huecos,Aseo y basuras,Seguridad y convivencia,182,7950,480,82.1,22.0,15.1,84.9,64.2,85.0,SITP / TransMilenio,1340000,62.1,15.2,241200,5570.1,5.662099699908716,0.2137787886697242,226.48398799634862
20,SUMAPAZ,1100120,780.96,3678,12,3.5,2,0.53,2024-2025,Secretaría Distrital de Salud (SaluData) / REPS,244.2,4.1,24.5,65.0,68500,63200,92.26,21,82.4,68.5,9.2,4.5,Acueductos Comunitarios / Veredales,6.8,Riesgo Bajo,45,2800,88.5,33,58.0,680,82.0,Ruido y espacio público,Aseo y basuras,Seguridad y convivencia,2,45,8,4.2,22.0,68.5,31.5,18.2,110.0,A pie / Auto / SITP,1280000,65.4,9.2,230400,4.70958819913952,32.62642740619902,17.183251767264817,1848.8308863512777
