ANO;CODIGO_LOCALIDAD;NOMBRE_LOCALIDAD;SEXO;EDAD;CURSODEVIDA;GRUPOEDAD;POBLACION
2005;15;Antonio Nariño;Hombres;8;Infancia;00 a 11;1142
2005;15;Antonio Nariño;Hombres;9;Infancia;00 a 11;1120
2005;15;Antonio Nariño;Hombres;10;Infancia;00 a 11;1127
2005;15;Antonio Nariño;Hombres;11;Infancia;00 a 11;1114
2005;16;Puente Aranda;Hombres;6;Infancia;00 a 11;2039
2005;16;Puente Aranda;Hombres;7;Infancia;00 a 11;2222
2005;16;Puente Aranda;Hombres;8;Infancia;00 a 11;2139
2005;16;Puente Aranda;Hombres;9;Infancia;00 a 11;2266
2005;16;Puente Aranda;Hombres;10;Infancia;00 a 11;2220
2005;16;Puente Aranda;Hombres;11;Infancia;00 a 11;2250
2005;17;La Candelaria;Hombres;6;Infancia;00 a 11;193
2005;17;La Candelaria;Hombres;7;Infancia;00 a 11;150
2005;17;La Candelaria;Hombres;8;Infancia;00 a 11;170
2005;17;La Candelaria;Hombres;9;Infancia;00 a 11;169
2005;17;La Candelaria;Hombres;10;Infancia;00 a 11;176
2005;17;La Candelaria;Hombres;11;Infancia;00 a 11;151
2005;18;Rafael Uribe Uribe;Hombres;6;Infancia;00 a 11;3808
2005;18;Rafael Uribe Uribe;Hombres;7;Infancia;00 a 11;4083
2005;18;Rafael Uribe Uribe;Hombres;8;Infancia;00 a 11;4228
2005;18;Rafael Uribe Uribe;Hombres;9;Infancia;00 a 11;4160
2005;18;Rafael Uribe Uribe;Hombres;10;Infancia;00 a 11;4082
2005;18;Rafael Uribe Uribe;Hombres;11;Infancia;00 a 11;3976
2005;19;Ciudad Bolívar;Hombres;6;Infancia;00 a 11;7082
2005;19;Ciudad Bolívar;Hombres;7;Infancia;00 a 11;7197
2005;19;Ciudad Bolívar;Hombres;8;Infancia;00 a 11;7278
2005;19;Ciudad Bolívar;Hombres;9;Infancia;00 a 11;7431
2005;19;Ciudad Bolívar;Hombres;10;Infancia;00 a 11;7264
2005;19;Ciudad Bolívar;Hombres;11;Infancia;00 a 11;7085
2005;20;Sumapaz;Hombres;6;Infancia;00 a 11;95
2005;20;Sumapaz;Hombres;7;Infancia;00 a 11;69
2005;20;Sumapaz;Hombres;8;Infancia;00 a 11;86
2005;20;Sumapaz;Hombres;9;Infancia;00 a 11;107
2005;20;Sumapaz;Hombres;10;Infancia;00 a 11;92
2005;20;Sumapaz;Hombres;11;Infancia;00 a 11;78
2005;0;Bogotá;Hombres;0;Primera Infancia;00 a 11;59131
2005;0;Bogotá;Hombres;1;Primera Infancia;00 a 11;59872
2005;0;Bogotá;Hombres;2;Primera Infancia;00 a 11;60722
2005;0;Bogotá;Hombres;3;Primera Infancia;00 a 11;61644
2005;0;Bogotá;Hombres;4;Primera Infancia;00 a 11;62973
2005;0;Bogotá;Hombres;5;Primera Infancia;00 a 11;64983
2005;1;Usaquén;Hombres;0;Primera Infancia;00 a 11;2909
2005;1;Usaquén;Hombres;1;Primera Infancia;00 a 11;2954
2005;1;Usaquén;Hombres;2;Primera Infancia;00 a 11;2919
2005;1;Usaquén;Hombres;3;Primera Infancia;00 a 11;2989
2005;1;Usaquén;Hombres;4;Primera Infancia;00 a 11;3079
2005;1;Usaquén;Hombres;5;Primera Infancia;00 a 11;3245
2005;2;Chapinero;Hombres;0;Primera Infancia;00 a 11;716
2005;2;Chapinero;Hombres;1;Primera Infancia;00 a 11;700
2005;2;Chapinero;Hombres;2;Primera Infancia;00 a 11;659
2005;2;Chapinero;Hombres;3;Primera Infancia;00 a 11;654
2005;2;Chapinero;Hombres;4;Primera Infancia;00 a 11;617
2005;2;Chapinero;Hombres;5;Primera Infancia;00 a 11;682
2005;3;Santa Fe;Hombres;0;Primera Infancia;00 a 11;859
2005;3;Santa Fe;Hombres;1;Primera Infancia;00 a 11;891
2005;3;Santa Fe;Hombres;2;Primera Infancia;00 a 11;866
2005;3;Santa Fe;Hombres;3;Primera Infancia;00 a 11;860
2005;3;Santa Fe;Hombres;4;Primera Infancia;00 a 11;914
2005;3;Santa Fe;Hombres;5;Primera Infancia;00 a 11;984
2005;4;San Cristóbal;Hombres;0;Primera Infancia;00 a 11;3862
2005;4;San Cristóbal;Hombres;1;Primera Infancia;00 a 11;3753
2005;4;San Cristóbal;Hombres;2;Primera Infancia;00 a 11;3935
2005;4;San Cristóbal;Hombres;3;Primera Infancia;00 a 11;4107
2005;4;San Cristóbal;Hombres;4;Primera Infancia;00 a 11;4223
2005;4;San Cristóbal;Hombres;5;Primera Infancia;00 a 11;4402
2005;5;Usme;Hombres;0;Primera Infancia;00 a 11;3100
2005;5;Usme;Hombres;1;Primera Infancia;00 a 11;3116
2005;5;Usme;Hombres;2;Primera Infancia;00 a 11;3379
2005;5;Usme;Hombres;3;Primera Infancia;00 a 11;3432
2005;5;Usme;Hombres;4;Primera Infancia;00 a 11;3625
2005;5;Usme;Hombres;5;Primera Infancia;00 a 11;3586
2005;6;Tunjuelito;Hombres;0;Primera Infancia;00 a 11;1630
2005;6;Tunjuelito;Hombres;1;Primera Infancia;00 a 11;1553
2005;6;Tunjuelito;Hombres;2;Primera Infancia;00 a 11;1645
2005;6;Tunjuelito;Hombres;3;Primera Infancia;00 a 11;1577
2005;6;Tunjuelito;Hombres;4;Primera Infancia;00 a 11;1699
2005;6;Tunjuelito;Hombres;5;Primera Infancia;00 a 11;1794
2005;7;Bosa;Hombres;0;Primera Infancia;00 a 11;5051
2005;7;Bosa;Hombres;1;Primera Infancia;00 a 11;5350
2005;7;Bosa;Hombres;2;Primera Infancia;00 a 11;5319
2005;7;Bosa;Hombres;3;Primera Infancia;00 a 11;5539
2005;7;Bosa;Hombres;4;Primera Infancia;00 a 11;5436
2005;7;Bosa;Hombres;5;Primera Infancia;00 a 11;5595
2005;8;Kennedy;Hombres;0;Primera Infancia;00 a 11;9108
2005;8;Kennedy;Hombres;1;Primera Infancia;00 a 11;9138
2005;8;Kennedy;Hombres;2;Primera Infancia;00 a 11;9069
2005;8;Kennedy;Hombres;3;Primera Infancia;00 a 11;9237
2005;8;Kennedy;Hombres;4;Primera Infancia;00 a 11;9233
2005;8;Kennedy;Hombres;5;Primera Infancia;00 a 11;9541
2005;9;Fontibón;Hombres;0;Primera Infancia;00 a 11;2495
2005;9;Fontibón;Hombres;1;Primera Infancia;00 a 11;2421
2005;9;Fontibón;Hombres;2;Primera Infancia;00 a 11;2448
2005;9;Fontibón;Hombres;3;Primera Infancia;00 a 11;2594
2005;9;Fontibón;Hombres;4;Primera Infancia;00 a 11;2643
2005;9;Fontibón;Hombres;5;Primera Infancia;00 a 11;2741
2005;10;Engativá;Hombres;0;Primera Infancia;00 a 11;6120
2005;10;Engativá;Hombres;1;Primera Infancia;00 a 11;6360
2005;10;Engativá;Hombres;2;Primera Infancia;00 a 11;6668
2005;10;Engativá;Hombres;3;Primera Infancia;00 a 11;6547
2005;10;Engativá;Hombres;4;Primera Infancia;00 a 11;6799
2005;10;Engativá;Hombres;5;Primera Infancia;00 a 11;6887
2005;11;Suba;Hombres;0;Primera Infancia;00 a 11;7647
2005;11;Suba;Hombres;1;Primera Infancia;00 a 11;7864
2005;11;Suba;Hombres;2;Primera Infancia;00 a 11;7866
2005;11;Suba;Hombres;3;Primera Infancia;00 a 11;8196
2005;11;Suba;Hombres;4;Primera Infancia;00 a 11;8250
2005;11;Suba;Hombres;5;Primera Infancia;00 a 11;8446
2005;12;Barrios Unidos;Hombres;0;Primera Infancia;00 a 11;1437
2005;12;Barrios Unidos;Hombres;1;Primera Infancia;00 a 11;1453
2005;12;Barrios Unidos;Hombres;2;Primera Infancia;00 a 11;1356
2005;12;Barrios Unidos;Hombres;3;Primera Infancia;00 a 11;1489
2005;12;Barrios Unidos;Hombres;4;Primera Infancia;00 a 11;1516
2005;12;Barrios Unidos;Hombres;5;Primera Infancia;00 a 11;1599
2005;13;Teusaquillo;Hombres;0;Primera Infancia;00 a 11;703
2005;13;Teusaquillo;Hombres;1;Primera Infancia;00 a 11;678
2005;13;Teusaquillo;Hombres;2;Primera Infancia;00 a 11;749
2005;13;Teusaquillo;Hombres;3;Primera Infancia;00 a 11;695
2005;13;Teusaquillo;Hombres;4;Primera Infancia;00 a 11;735
2005;13;Teusaquillo;Hombres;5;Primera Infancia;00 a 11;733
2005;14;Los Mártires;Hombres;0;Primera Infancia;00 a 11;807
2005;14;Los Mártires;Hombres;1;Primera Infancia;00 a 11;741
2005;14;Los Mártires;Hombres;2;Primera Infancia;00 a 11;815
2005;14;Los Mártires;Hombres;3;Primera Infancia;00 a 11;743
2005;14;Los Mártires;Hombres;4;Primera Infancia;00 a 11;732
2005;14;Los Mártires;Hombres;5;Primera Infancia;00 a 11;763
2005;15;Antonio Nariño;Hombres;0;Primera Infancia;00 a 11;1043
2005;15;Antonio Nariño;Hombres;1;Primera Infancia;00 a 11;927
2005;15;Antonio Nariño;Hombres;2;Primera Infancia;00 a 11;977
2005;15;Antonio Nariño;Hombres;3;Primera Infancia;00 a 11;967
2005;15;Antonio Nariño;Hombres;4;Primera Infancia;00 a 11;1003
2005;15;Antonio Nariño;Hombres;5;Primera Infancia;00 a 11;1006
2005;16;Puente Aranda;Hombres;0;Primera Infancia;00 a 11;1830
2005;16;Puente Aranda;Hombres;1;Primera Infancia;00 a 11;1970
2005;16;Puente Aranda;Hombres;2;Primera Infancia;00 a 11;1833
2005;16;Puente Aranda;Hombres;3;Primera Infancia;00 a 11;1952
2005;16;Puente Aranda;Hombres;4;Primera Infancia;00 a 11;1946
2005;16;Puente Aranda;Hombres;5;Primera Infancia;00 a 11;2022
2005;17;La Candelaria;Hombres;0;Primera Infancia;00 a 11;152
2005;17;La Candelaria;Hombres;1;Primera Infancia;00 a 11;126
2005;17;La Candelaria;Hombres;2;Primera Infancia;00 a 11;140
2005;17;La Candelaria;Hombres;3;Primera Infancia;00 a 11;154
2005;17;La Candelaria;Hombres;4;Primera Infancia;00 a 11;165
2005;17;La Candelaria;Hombres;5;Primera Infancia;00 a 11;204
2005;18;Rafael Uribe Uribe;Hombres;0;Primera Infancia;00 a 11;3386
2005;18;Rafael Uribe Uribe;Hombres;1;Primera Infancia;00 a 11;3497
2005;18;Rafael Uribe Uribe;Hombres;2;Primera Infancia;00 a 11;3421
2005;18;Rafael Uribe Uribe;Hombres;3;Primera Infancia;00 a 11;3412
2005;18;Rafael Uribe Uribe;Hombres;4;Primera Infancia;00 a 11;3668
2005;18;Rafael Uribe Uribe;Hombres;5;Primera Infancia;00 a 11;3852
2005;19;Ciudad Bolívar;Hombres;0;Primera Infancia;00 a 11;6197
2005;19;Ciudad Bolívar;Hombres;1;Primera Infancia;00 a 11;6280
2005;19;Ciudad Bolívar;Hombres;2;Primera Infancia;00 a 11;6565
2005;19;Ciudad Bolívar;Hombres;3;Primera Infancia;00 a 11;6420
2005;19;Ciudad Bolívar;Hombres;4;Primera Infancia;00 a 11;6615
2005;19;Ciudad Bolívar;Hombres;5;Primera Infancia;00 a 11;6818
2005;20;Sumapaz;Hombres;0;Primera Infancia;00 a 11;79
2005;20;Sumapaz;Hombres;1;Primera Infancia;00 a 11;100
2005;20;Sumapaz;Hombres;2;Primera Infancia;00 a 11;93
2005;20;Sumapaz;Hombres;3;Primera Infancia;00 a 11;80
2005;20;Sumapaz;Hombres;4;Primera Infancia;00 a 11;75
2005;20;Sumapaz;Hombres;5;Primera Infancia;00 a 11;83
2005;0;Bogotá;Hombres;12;Adolescencia;12 a 17;67142
2005;0;Bogotá;Hombres;13;Adolescencia;12 a 17;65606
2005;0;Bogotá;Hombres;14;Adolescencia;12 a 17;63998
2005;0;Bogotá;Hombres;15;Adolescencia;12 a 17;62463
2005;0;Bogotá;Hombres;16;Adolescencia;12 a 17;61119
2005;0;Bogotá;Hombres;17;Adolescencia;12 a 17;60092
2005;1;Usaquén;Hombres;12;Adolescencia;12 a 17;3584
2005;1;Usaquén;Hombres;13;Adolescencia;12 a 17;3380
2005;1;Usaquén;Hombres;14;Adolescencia;12 a 17;3239
2005;1;Usaquén;Hombres;15;Adolescencia;12 a 17;3363
2005;1;Usaquén;Hombres;16;Adolescencia;12 a 17;3255
2005;1;Usaquén;Hombres;17;Adolescencia;12 a 17;3455
2005;2;Chapinero;Hombres;12;Adolescencia;12 a 17;757
2005;2;Chapinero;Hombres;13;Adolescencia;12 a 17;718
2005;2;Chapinero;Hombres;14;Adolescencia;12 a 17;709
2005;2;Chapinero;Hombres;15;Adolescencia;12 a 17;707
2005;2;Chapinero;Hombres;16;Adolescencia;12 a 17;710
2005;2;Chapinero;Hombres;17;Adolescencia;12 a 17;891
2005;3;Santa Fe;Hombres;12;Adolescencia;12 a 17;1021
2005;3;Santa Fe;Hombres;13;Adolescencia;12 a 17;947
2005;3;Santa Fe;Hombres;14;Adolescencia;12 a 17;895
2005;3;Santa Fe;Hombres;15;Adolescencia;12 a 17;933
2005;3;Santa Fe;Hombres;16;Adolescencia;12 a 17;910
2005;3;Santa Fe;Hombres;17;Adolescencia;12 a 17;882
2005;4;San Cristóbal;Hombres;12;Adolescencia;12 a 17;4595
2005;4;San Cristóbal;Hombres;13;Adolescencia;12 a 17;4472
2005;4;San Cristóbal;Hombres;14;Adolescencia;12 a 17;4400
2005;4;San Cristóbal;Hombres;15;Adolescencia;12 a 17;4369
2005;4;San Cristóbal;Hombres;16;Adolescencia;12 a 17;4154
2005;4;San Cristóbal;Hombres;17;Adolescencia;12 a 17;4041
2005;5;Usme;Hombres;12;Adolescencia;12 a 17;3848
2005;5;Usme;Hombres;13;Adolescencia;12 a 17;3614
2005;5;Usme;Hombres;14;Adolescencia;12 a 17;3455
2005;5;Usme;Hombres;15;Adolescencia;12 a 17;3503
2005;5;Usme;Hombres;16;Adolescencia;12 a 17;3221
2005;5;Usme;Hombres;17;Adolescencia;12 a 17;3261
2005;6;Tunjuelito;Hombres;12;Adolescencia;12 a 17;1975
2005;6;Tunjuelito;Hombres;13;Adolescencia;12 a 17;1847
2005;6;Tunjuelito;Hombres;14;Adolescencia;12 a 17;1832
2005;6;Tunjuelito;Hombres;15;Adolescencia;12 a 17;1778
2005;6;Tunjuelito;Hombres;16;Adolescencia;12 a 17;1705
2005;6;Tunjuelito;Hombres;17;Adolescencia;12 a 17;1745
2005;7;Bosa;Hombres;12;Adolescencia;12 a 17;5620
2005;7;Bosa;Hombres;13;Adolescencia;12 a 17;5574
2005;7;Bosa;Hombres;14;Adolescencia;12 a 17;5556
2005;7;Bosa;Hombres;15;Adolescencia;12 a 17;5115
2005;7;Bosa;Hombres;16;Adolescencia;12 a 17;5123
2005;7;Bosa;Hombres;17;Adolescencia;12 a 17;4775
2005;8;Kennedy;Hombres;12;Adolescencia;12 a 17;9017
2005;8;Kennedy;Hombres;13;Adolescencia;12 a 17;9154
2005;8;Kennedy;Hombres;14;Adolescencia;12 a 17;8910
2005;8;Kennedy;Hombres;15;Adolescencia;12 a 17;8387
2005;8;Kennedy;Hombres;16;Adolescencia;12 a 17;8580
2005;8;Kennedy;Hombres;17;Adolescencia;12 a 17;7793
2005;9;Fontibón;Hombres;12;Adolescencia;12 a 17;2893
2005;9;Fontibón;Hombres;13;Adolescencia;12 a 17;2678
2005;9;Fontibón;Hombres;14;Adolescencia;12 a 17;2764
2005;9;Fontibón;Hombres;15;Adolescencia;12 a 17;2663
2005;9;Fontibón;Hombres;16;Adolescencia;12 a 17;2435
2005;9;Fontibón;Hombres;17;Adolescencia;12 a 17;2537
2005;10;Engativá;Hombres;12;Adolescencia;12 a 17;7229
2005;10;Engativá;Hombres;13;Adolescencia;12 a 17;7324
2005;10;Engativá;Hombres;14;Adolescencia;12 a 17;6955
2005;10;Engativá;Hombres;15;Adolescencia;12 a 17;6829
2005;10;Engativá;Hombres;16;Adolescencia;12 a 17;6696
2005;10;Engativá;Hombres;17;Adolescencia;12 a 17;6661
2005;11;Suba;Hombres;12;Adolescencia;12 a 17;8964
2005;11;Suba;Hombres;13;Adolescencia;12 a 17;8833
2005;11;Suba;Hombres;14;Adolescencia;12 a 17;8367
2005;11;Suba;Hombres;15;Adolescencia;12 a 17;8178
2005;11;Suba;Hombres;16;Adolescencia;12 a 17;8089
2005;11;Suba;Hombres;17;Adolescencia;12 a 17;7917
2005;12;Barrios Unidos;Hombres;12;Adolescencia;12 a 17;1419
2005;12;Barrios Unidos;Hombres;13;Adolescencia;12 a 17;1658
2005;12;Barrios Unidos;Hombres;14;Adolescencia;12 a 17;1653
2005;12;Barrios Unidos;Hombres;15;Adolescencia;12 a 17;1512
2005;12;Barrios Unidos;Hombres;16;Adolescencia;12 a 17;1546
2005;12;Barrios Unidos;Hombres;17;Adolescencia;12 a 17;1554
2005;13;Teusaquillo;Hombres;12;Adolescencia;12 a 17;793
2005;13;Teusaquillo;Hombres;13;Adolescencia;12 a 17;813
2005;13;Teusaquillo;Hombres;14;Adolescencia;12 a 17;834
2005;13;Teusaquillo;Hombres;15;Adolescencia;12 a 17;885
2005;13;Teusaquillo;Hombres;16;Adolescencia;12 a 17;838
2005;13;Teusaquillo;Hombres;17;Adolescencia;12 a 17;1042
2005;14;Los Mártires;Hombres;12;Adolescencia;12 a 17;791
2005;14;Los Mártires;Hombres;13;Adolescencia;12 a 17;769
2005;14;Los Mártires;Hombres;14;Adolescencia;12 a 17;854
2005;14;Los Mártires;Hombres;15;Adolescencia;12 a 17;748
2005;14;Los Mártires;Hombres;16;Adolescencia;12 a 17;846
2005;14;Los Mártires;Hombres;17;Adolescencia;12 a 17;800
2005;15;Antonio Nariño;Hombres;12;Adolescencia;12 a 17;1160
2005;15;Antonio Nariño;Hombres;13;Adolescencia;12 a 17;1048
2005;15;Antonio Nariño;Hombres;14;Adolescencia;12 a 17;1138
2005;15;Antonio Nariño;Hombres;15;Adolescencia;12 a 17;1042
2005;15;Antonio Nariño;Hombres;16;Adolescencia;12 a 17;1082
2005;15;Antonio Nariño;Hombres;17;Adolescencia;12 a 17;1031
2005;16;Puente Aranda;Hombres;12;Adolescencia;12 a 17;2324
2005;16;Puente Aranda;Hombres;13;Adolescencia;12 a 17;2127
2005;16;Puente Aranda;Hombres;14;Adolescencia;12 a 17;2104
2005;16;Puente Aranda;Hombres;15;Adolescencia;12 a 17;2176
2005;16;Puente Aranda;Hombres;16;Adolescencia;12 a 17;2174
2005;16;Puente Aranda;Hombres;17;Adolescencia;12 a 17;2083
2005;17;La Candelaria;Hombres;12;Adolescencia;12 a 17;191
2005;17;La Candelaria;Hombres;13;Adolescencia;12 a 17;189
2005;17;La Candelaria;Hombres;14;Adolescencia;12 a 17;161
2005;17;La Candelaria;Hombres;15;Adolescencia;12 a 17;155
2005;17;La Candelaria;Hombres;16;Adolescencia;12 a 17;262
2005;17;La Candelaria;Hombres;17;Adolescencia;12 a 17;192
2005;18;Rafael Uribe Uribe;Hombres;12;Adolescencia;12 a 17;4034
2005;18;Rafael Uribe Uribe;Hombres;13;Adolescencia;12 a 17;3873
2005;18;Rafael Uribe Uribe;Hombres;14;Adolescencia;12 a 17;3813
2005;18;Rafael Uribe Uribe;Hombres;15;Adolescencia;12 a 17;3828
2005;18;Rafael Uribe Uribe;Hombres;16;Adolescencia;12 a 17;3526
2005;18;Rafael Uribe Uribe;Hombres;17;Adolescencia;12 a 17;3588
2005;19;Ciudad Bolívar;Hombres;12;Adolescencia;12 a 17;6841
2005;19;Ciudad Bolívar;Hombres;13;Adolescencia;12 a 17;6508
2005;19;Ciudad Bolívar;Hombres;14;Adolescencia;12 a 17;6283
2005;19;Ciudad Bolívar;Hombres;15;Adolescencia;12 a 17;6223
2005;19;Ciudad Bolívar;Hombres;16;Adolescencia;12 a 17;5904
2005;19;Ciudad Bolívar;Hombres;17;Adolescencia;12 a 17;5775
2005;20;Sumapaz;Hombres;12;Adolescencia;12 a 17;86
2005;20;Sumapaz;Hombres;13;Adolescencia;12 a 17;80
2005;20;Sumapaz;Hombres;14;Adolescencia;12 a 17;76
2005;20;Sumapaz;Hombres;15;Adolescencia;12 a 17;69
2005;20;Sumapaz;Hombres;16;Adolescencia;12 a 17;63
2005;20;Sumapaz;Hombres;17;Adolescencia;12 a 17;69
2005;0;Bogotá;Hombres;18;Juventud;18 a 28;59472
2005;0;Bogotá;Hombres;19;Juventud;18 a 28;59368
2005;0;Bogotá;Hombres;20;Juventud;18 a 28;59778
2005;0;Bogotá;Hombres;21;Juventud;18 a 28;60461
2005;0;Bogotá;Hombres;22;Juventud;18 a 28;61007
2005;0;Bogotá;Hombres;23;Juventud;18 a 28;61227
2005;0;Bogotá;Hombres;24;Juventud;18 a 28;60965
2005;0;Bogotá;Hombres;25;Juventud;18 a 28;60121
2005;0;Bogotá;Hombres;26;Juventud;18 a 28;58759
2005;0;Bogotá;Hombres;27;Juventud;18 a 28;57050
2005;0;Bogotá;Hombres;28;Juventud;18 a 28;55249
2005;1;Usaquén;Hombres;18;Juventud;18 a 28;3450
2005;1;Usaquén;Hombres;19;Juventud;18 a 28;3435
2005;1;Usaquén;Hombres;20;Juventud;18 a 28;3616
2005;1;Usaquén;Hombres;21;Juventud;18 a 28;3568
2005;1;Usaquén;Hombres;22;Juventud;18 a 28;3505
2005;1;Usaquén;Hombres;23;Juventud;18 a 28;3644
2005;1;Usaquén;Hombres;24;Juventud;18 a 28;3465
2005;1;Usaquén;Hombres;25;Juventud;18 a 28;3503
2005;1;Usaquén;Hombres;26;Juventud;18 a 28;3392
2005;1;Usaquén;Hombres;27;Juventud;18 a 28;3358
2005;1;Usaquén;Hombres;28;Juventud;18 a 28;3350
2005;2;Chapinero;Hombres;18;Juventud;18 a 28;1066
2005;2;Chapinero;Hombres;19;Juventud;18 a 28;1278
2005;2;Chapinero;Hombres;20;Juventud;18 a 28;1238
